Prompt	Solution 0	Solution 1	Label
Vwẹ ẹkuotọ Urhobo, ee she irhe koko kẹ …	Vwọ ẹkuotọ Urhobo, ee she irhe koko kẹ aa ghwẹ ayẹn yẹ inye erhare rere ayen nabọ yan a ke sana no vwo chere emu	Vwẹ ẹkuotọ Urhobo, ee she irhe koko kẹ aa ghwẹ ayẹn yẹ inye erhare rere ayen nabọ ya a ke sana no vwo chere emu	1
Die ọyen ihwo Urhobo vwo hwe iyerin?	Ariri ọyen usu eravwọn ihwo Urhobo vwo hwe iyerin ariri	 Ariri ọyen usu eravwọn ihwo Urhobo vwọ fan iyerin	0
Ẹfan ibieta kẹ ewewe rẹ obo e nyo ri yẹrẹ obo re si ri nẹ ephere …	Efan ibieta ọyẹn ẹrhẹriẹ rẹ obọ rẹ ee si ri yẹrẹ obọ ee nyo ri vwẹ ephẹrẹ ọvo kpo ephẹrẹ ọfa.	 Efan ibieta ọyẹn ẹrhẹriẹ rẹ obọ rẹ ee si ri yẹrẹ obọ ee nyo ri vwo ephẹrẹ ọvo kpo ephẹrẹ ọfa.	0
Die ọyen so rọ obọ rẹ eshare gbi saa gba isuesun uwevwiiin?	Eshare eyen aa tare nẹ ayeen kobaro rẹ esuo evun rẹ uwenvwin. Asa ọke epha na imighene eshare phiẹ ẹro yẹ ebe e se ee, yẹrẹ iruo eruo oo. Ki mavọ ayen se su evun rẹ uwenvwin?	Eshare eyen aa tare nẹ ayeen kobaro rẹ esuo evun rẹ utuwenvwin. Asa ọke epha na imighene eshare phiẹ ẹro yẹ ebe e se ee, yẹrẹ iruo eruo oo. Ki mavọ ayen se su evun rẹ uwenvwin?	0
Uyono Urhobo nabọ … vwẹ orere Inaidjiria asa ọke epha na	Uyono Urhobo nabọ ghwowọn yotọ vwẹ orere Inaidjiria asa ọke epha na	Uyono Urhobo nabọ ghwobọ yotọ vwẹ orere Inaidjiria asa ọke epha na	1
Die ọyen erere rẹ ẹguọnọ vẹ ẹghwobọ kpahẹ irueru ikọputa rẹ e vwo yono uyono?	Ofori rere a vwẹ ẹro kere itu rẹ ii vwo ẹguọnọ kpahe inirese ikọputa rẹ e vwo yono uyono. Ifikiridie, ọọ nẹrhẹ uyono lọhọ	Ofori rere a vwẹ ẹro kere itu rẹ ii vwo ẹguọnọ kpahe irueru ikọputa rẹ e vwo yono uyono. Ifikiridie, ọọ nẹrhẹ uyono lọhọ	1
A sa kọn imidaka yẹ imize yẹrẹ oche kirẹ ifurawa?	Tivọ a da mrẹ itu rẹ ii kpẹ owian imidaka vwẹ evun uwenvwin ?	Tivọ a da mrẹ itu rẹ ii kpẹ owian imidaka vwẹ enu uwenvwin ?	0
Emọ ọke nana fobọ wontọ nẹ isukuru otete. Die ọyen so rọ?	Siẹvo re, isada esa oyen emọ vwo vrẹn nẹ isukuru otete. Asa ọke epha na a gbe hẹrẹ ọke yena ayen ke vrẹn nẹ isukuru imitete ee. Okpakpa ebro ọke nana gan nọ!	Siẹvo re, isada erha oyen emọ vwo vrẹn nẹ isukuru otete. Asa ọke epha na a gbe hẹrẹ ọke yena ayen ke vrẹn nẹ isukuru imitete ee	0
Mavọ emọ isukuru nẹ ọbe ese yọ asa ọke epha na? idie vẹ idie kọyen ayeen ruẹ ayen ke sa wan ọdavwini raye?	Oshọ rẹ eshe gbi je emọ buebun kpo isukuru rode ee. Itu re davwe ruọ, ayeeen mwẹ ẹto yẹ ọbe e se ee, ayen kii ghwobọ nyẹ igho rẹ ayen vwọ dẹ iyono reyọ rere ayen sa kẹ ayen imaki rẹ ayen sa vwo wan ọdavwini raye.	Oshọ rẹ eshe gbi je emọ buebun kpo isukuru rode ee. Itu re davwe ruọ, ayeeen mwẹ ẹro yẹ ọbe e se ee, ayen kii ghwobọ nyẹ igho rẹ ayen vwọ dẹ iyono reyọ rere ayen sa kẹ ayen imaki rẹ ayen sa vwo wan ọdavwini raye.	1
Ọrọ mee kun usu re ẹbe eyono evun inaidjiria vẹ ọrẹ inọko?	Ẹbe eyono vwẹ inaidjiria kun vrẹn ọrẹ inọko dibidibi	Ẹbe oyono vwẹ inaidjiria kun vrẹn ọrẹ inọko	0
Ta kprẹn kpahẹn igho ẹjẹ yẹn uyono rẹ Urhobo	Eghwughwu igho rẹ ukoko ihwo Urhobo sansan jẹ yẹn uyono rẹ Urhobo te a vwọ bọn iwevwin ọbe eyono vwẹ erere sasan vwẹ ẹkuotọ Urhobo	Eghwughwu igho rẹ ukoko ihwo Urhobo sansan jẹ yẹn uyono rẹ Urhobo te a vwọ vọn iwevwin ọbe eyono vwẹ erere soso vwẹ ẹkuotọ Urhobo.	0
Ofori rere akpọ vẹ erivwin ghwobọ kpahen uyono rẹ emọ notọ votọ rhe?	Eh.Ofori rere akpọ vẹ erivwin ghwobọ kpahen uyono rẹ emọ notọ votọ rhe ee	Eh.Ofori rere akpọ vẹ erivwin ghwobọ kpahen uyono rẹ emọ notọ votọ rhe	1
Ini vẹ ese emọisukuru na nabo bru ọghọ yẹ oma rẹ oyono rayen …	Ifikiridie oyono na nabo yono emọisukuru na.	 Ifikiridie oyono na nabo yono emọisukuru na aa.	0
Isataya vọn re vẹ eka vẹ ehwẹ ẹjẹ ihwo…	 Isataya ona rẹ ineiroro rẹ ekan rẹ a vwọ beran kihwokihwo sasan rẹ ii suẹ vwẹ asa kpahẹn obọ re mioma rere ayen sa riyẹ ekan na vwọ ruẹrẹ ekuakua phiyọ	Isataya ona rẹ ineiroro rẹ ekan rẹ a vwọ haran kihwokihwo sasan rẹ ii suẹ vwẹ asa kpahẹn obọ re mioma rere ayen sa riyẹ ekan na vwọ ruẹrẹ ekuakua phiyọ	1
Ọke vọ ọyen e vwo miẹ ọfigbo nẹ ibiedi?	E de mu edi chere , ọ da lọlọ re kẹ ee duvwo kẹ aa mwa rere e se mie/mi/ miẹ ofigbo no rhe	E de mu edi chere , ọ da nọhọ re kẹ ee duvwo kẹ aa mwa rere e se mie/mi/ miẹ ofigbo no rhe	1
Mavọ ọyen ee ruẹ ori ibi?	A kaa vwẹ ibiedi e miẹ ọfigbo vwọ hwa uvoh rere ọ ya a ke teyẹ ibi naa no.Ibi na a teye no nu na, a vwẹ ayen vwọ hwa uvoh rere e nabọ ya. kẹ ee kuẹ ibi eya re na yẹ etaso enu erhare. Etiyin kọye a da frarọ bẹsiẹ oli vwo miẹ no…	 A kaa vwo ibiedi e miẹ ọfigbo vwọ hwa uvoh rere ọ ya a ke teyẹ ibi naa no.Ibi na a teye no nu na, a vwẹ ayen vwọ hwa uvoh rere e nabọ ya. kẹ ee kuẹ ibi eya re na yẹ etaso enu erhare. Etiyin kọye a da frarọ bẹsiẹ oli vwo miẹ no…	
Die ọyen nẹrẹ emọisukuru naa djugbonẹ yan kpe isukuru kpatakpata?	Emọisukuru naa djugbonẹ yan kpẹ isukuru kpatakpata ifikiridie ayen fọbọ vrẹn nẹ uwenvwi ii	 Emọisukuru naa djugbonẹ yan kpẹ isukuku kpatakpata ifikiridie ayen fọbọ vrẹn nẹ uwenvwi ii	0
Mavọ Ọchuko ru wan rẹ ẹvwe na vwo jẹ ọrhẹ na ẹriọ?	 Hmmm.Wọ riẹ re nẹ ẹvwe rhiẹ ẹro mrẹ ọrhẹ ẹẹ. Ọchuko oo phẹre rẹ re muẹ ehọrọ rẹ ọnẹ na vwọ kẹ	Hmmm.Wọ riẹ re nẹ ẹvwe rhiẹ ẹro mrẹ ọrhẹ ẹẹ. Ọchuko oo  brokpakpa re muẹ ehọrọ rẹ ọnẹ na vwọ kẹ	1
Oka ori vọ ọyen ihwo Urhobo vwo me ẹton?	Ori ibi ọyen ihwo Urhobo vwo ruo ẹton	Ori ibi ọyen ihwo Urhobo vwo me ẹton	1
E de she urhe kpokpọ nẹ ẹghwa rhe, e se vwo koko erhare?	Ẹjo e se che vwo koko erhare ee se che vwo koko erhare ee	 Ẹjo a se che vwo koko erhare ee	0
Dje obọ rẹ ee gbe usi wan	A da vwẹ ọfigbo vwo ghwolo obevun rẹ ogholie nu kẹ aa fa usi na yọ, kẹ ee muo chere. Enu erhare na kọye e de gbe usi na besiẹ o ki dje. O dee dje na kẹ ee kio te asa a da ka nẹke ri te ọke rẹ o vwo vwie. kẹ aa kparọ nẹ oghorie na	 A da vwẹ ọfigbo vwo ghwolo obevun rẹ ogholie nu kẹ aa fa usi na yọ, kẹ ee muo chere. Enu erhare na kọye e de gbe usi na besiẹ o ki dje. O dee dje na kẹ ee bio te asa a da ka nẹke ri te ọke rẹ o vwo vwie. kẹ aa kparọ nẹ oghorie na	0
Die ọyen owian ọmọshare na?	 Owian imidaka ẹnọ ọyen ọmọshare naa ruẹ	Owian imidaka ewunye ọyen ọmọshare naa ruẹ	1
Egeri na diẹ ifiki rẹ ọga?	 Egeri o geri ri na ọ diẹ ifiki rẹ ọga aa. Ọke e fan	Egeri o geri ri na ọ diẹ ifiki rẹ ọga aa. Ọke e wan	1
Mavọ ọrhẹ rhua te a ke nyavwọ?	Ọrhẹ da ghwo ọ da ji  nabọ teye re kẹ aa nyavwọ	 Ọrhẹ de ghwo ọ da ji nabọ teye re kẹ aa nyavwọ	0
Die yi so rọ rẹ ayen gbi kpo urhie la rhere ee?	Urhie na ọ vwa kokodo asa ọke epha na ifikiri die, osio rhọ re mamọ urhora nana	Urhie na ọ wa kokodo asa ọke epha na ifikiri die, osio rhọ re mamọ urhora nana	0
Ẹjọebro oguẹjọ na orarhe	Ẹdjọ rẹ oguẹjọ na vieru ru na bra re ee	Edjọ rẹ oguẹjọ na bru ru na bra re ee	1
Eki orere vọn aye naa la?	Ayen na a la eki egbo rode	Ayen na a kpo eki egbo rode  M	1
Otọ ọyen Imeri mwẹ erin na yọ	Imeri mwẹ erin na yẹ ahanre. O mu ro yotọọọ	Imeri mwẹ erin na vin ahanre. O mu ro yotọọọ	0
Omọ vọ ọyen aye Igbuje vwiẹ re?	Aye rẹ Ibuje viẹ edjimẹ irhiọke na	Aye rẹ Ibuje vwiẹ edjimẹ irhiọke na.	1
Ikẹsiẹna vẹ Ẹse de vwo  ẹghwọ ono cha ruẹrẹ ayeen yọ?	Ikẹsiẹna vẹ Ẹse emamọ rẹ igbeyan. O vwo obọ ayeen ghwọ te ee, ayen vevu ruẹrẹẹ kugbe	 Ikẹsiẹna vẹ Ẹse emamọ rẹ ogbeyan. O vwẹ obọ ayeen ghwọ te ee, ayen vevu ruẹrẹẹ kugbe	0
Ekpu emuo yi fori rẹ vwo mu ọbe e vwo yono ukpe rẹ a vwọ yọrọn ayen vwẹ obọ	Ekpu na e hohoho nọ ẹbe da evun royen kọye soro e gbi vwo muẹ ọbe ee	Ekpu na e họhọhọ nọ ẹbe da evun royen kọye soro e gbi vwo muẹ ọbe ee	1
Idie ọyen nẹrhẹ imighene naa gbozighi vwẹ idjerhe oyibo?	Isun rẹ avwanre kerhọn rẹ ihwo na aa-emu eje ghare ee re. ipẹtiro kare re, ugbegaga ọyen a da saa dẹ a da mrẹ dẹ. Ohwenvwee hwe ihwo eje. Ke mavọ e ru jokpa nẹ agba ruẹ ososo orere vẹ idjerhe oyibo de gbozughi!	 Isọn rẹ avwanre kerhọn rẹ ihwo na aa-emu eje ghare ee re. ipẹtiro kare re, ugbegaga ọyen a da saa dẹ a da mrẹ dẹ. Ohwenvwee hwe ihwo eje. Ke mavọ e ru jokpa nẹ agba ruẹ ososo orere vẹ idjerhe oyibo de gbozughi!	0
Die ọyen so rọ ọke buebun eya vẹ eshare e gba aa?	Ifikidie, eshare na ne eyan sakamu. Eshare buebun na se eya gbe mu uu	Ifikidie, eshare na ne eyan sekemu. Eshare buebun na se eya gbe mu uu	0
Ẹhọ ọmọ vẹ emu yoko, ọrọ mẹẹ je wen?	O vwẹ ọ ro je vwe e je ee. Ivivẹ na obo rẹ ofori nẹ ee ru kẹ ọmọ boba.	O vwẹ ọ ro je vwe e je ee. Ivivẹ na obo rẹ ofori nẹ ee ru kẹ ọmọ broba.	0
Vuẹ mẹ kpahẹ ofẹnẹ rẹ aghighọn vẹ ibivie	Aghighọn oka rẹ ivie rẹ inorogun kwẹ vwiyọ. Eruo rọye fẹnẹ vrẹn eruo rẹ ibivie. Vwọ kẹ ibivie, kowhokowho sa ghwa.	Aghighọn oka rẹ ivie rẹ inorogun kwẹ vwiyọ. Eruo rọye fẹnẹ vrẹn eruo rẹ ibivie. Vwọ kẹ ibivie, kohwokohwo sa ghwa.	1
Wọ da mrẹ okpohrokpo …	…ku wọọ djẹ, ifiki rẹ   òshọ̀ rọyen. Okpohrokpo o rhiẹro mrẹ ohwo rakpọ ọọ	…ku wọọ djẹ, ifiki rẹ óshọ́ rọyen. Okpohrokpo o rhiẹro mrẹ ohwo rakpọ ọọ	0
Erauwevwin  da mrẹ ohworakpo …	…kẹ ọọ djẹ, ifikiridie, ohworakpo riẹro mrẹ erauwevwi	…kẹ ọọ djẹ, ifikiridie, ohworakpo riẹro mrẹ erauwevwi iin	1
Eha egbe Urhobo vwẹreyono vrẹn ine ẹsuọ	Obo wọ tare na iyota, ẹkẹ vuọvo ọdiẹ ọke eje ee. Eha egbe ituọvo gan vrẹn efa. Etiọye jẹ ine ẹsuọ	Obo wọ tare na iyota, ẹkẹ vuovo ọdiẹ ọke eje ee. Eha egbe ituọvo gan vrẹn efa. Etiọye jẹ ine ẹsuọ	0
Mi nyo ri nẹ emọ rẹ ubraragba kokemọ rẹ ekreseme yọ	Omirẹgwa aa ne isọn ọkparevwi ii. Nighere ọ die emu eje ọyen aa davwerọ rọye ee. Kọyen nẹrhe mee fọn kayen	Omirẹgwa aa ne isọn ọkparevi ii. Nighere ọ die emu eje ọyen aa davwerọ rọye ee. Kọyen nẹrhe mee fọn kayen	0
Itetebe	Enenu o de vorho	Enenu o de phorho	1
Die ọyen ee se aziza?	Me ghwa rie kpahọ ọọ jokpa nẹ a tare nẹ ọyen oka rẹ ọdja gbanẹ ẹjọ rẹ aa mrẹ vwẹ evun rẹ ẹghwa	Me ghwa rie kpahọ ọọ jokpa nẹ a tare nẹ ọyen oka rẹ odju gbanẹ ẹjọ rẹ aa mrẹ vwẹ evun rẹ ẹghwa	1
Die e vwo bru emerin e ke vwo chere emu vwẹ evun rẹ uwevwin?	Amaphia ọyẹn e vwo bru emerin e ke vwo chere emu	Ukujẹrẹ ọyẹn e vwo bru emerin e ke vwo chere emu	0
Die ọyen sorọ e vwo vwẹ ewun vwọ tan uvo, je ghwiẹ si osio da rhọ?	Senẹ ewun na sa vwọ fobọ yan, ọ be je kpọrhọọ	Sene ewun na sa vwo tọ, ọ be je kpọrhọọ	0
Die ọyen sorọ o vwo fo nẹ e mu erharha nene oma vwẹ ọkisio?	Senẹ osio da rhọ, ke vwo rhurhẹ. Oma be kpọrhọ si osio da rhọ kpregedee. 	Senẹ osio da rhọ, ke vwo rhurhẹ. Oma kọ kprọrhọ si osio da rhọ kpregede	0
Mavọ e vwo ru amirhibo ọ tuabọ, o vwo fo re.	E muo chere eyovwi erhare te asan ọ sa vwọ tuabọ	E muo chere eyovwi arharen te asan ọ sa vwọ tuabọ	0
Die e vwo mu eghwa ehọhọ kpahe uyovwi e de nẹ ẹghwa yẹrẹn echi cha?	Amwa-erhin ọyẹn e se vwo mu eghwa ehọhọ kpahe uyovwi e de nẹ ẹghwa yẹrẹn echi cha	uyovwin fefe e se vwo mu eghwa ehọhọ kpahe uyovwi e de nẹ ẹghwa yẹrẹn echi cha	0
Mavọ wọ sa vwọ fa oma nẹ orere ọvo kpẹ orere ọfa oshesheri	wọ hwa igho ofa, ku wọ ro okọ-otọ kpẹ asan na	wọ hwa igho ofa, ku wọ yan kpẹ asan na	0
Die ọyen a sa vwọ tọn ọgọdọ ode, kirẹ asan e se shi ohwo phiyọ yẹrẹ igọta?	Ishọvẹ ọyẹn a sa vwọ tọn ọgọdọ ode.	Agada a sa vwọ tọn ọgọdọ ode	0
Mavọ wọ sa vwo jẹ oma ẹkpọrhọ si osio da rhọ	Wo vwo mu erharha nene oma wọ da yan. Si osio da rhọ, kẹ wo vwo rhurhẹ	Wo vwo jẹ erharha emuo nene oma wọ da yan. Si osio da rhọ, wọ bi rhurhẹẹ	0
Die sorọ a vwọ reyọ odja vwọ hworhẹ obọ?	A reyọ odja vwọ hworhẹ obọ senẹ obọ na vwọ fon	A reyọ odja vwọ hworhẹ obọ senẹ obọ na vwo gbe	0
Die ọyẹn a reyọ aphia vwo ruẹ evun rẹ ukoni?	A reyọ aphia vwo bru erọnvwọn evun rẹ ukoni	A reo aphia vwo chere erọnvwọn evun rẹ ukoni	0
Die ọyẹn e se vwo shevwerhẹ vwẹ evun rẹ uvun?	Ehwa yẹrẹn ere ọyẹn e se vwo shevwerhe vwẹ evun rẹ uvun	Ahwa yẹrẹn aphia ọyẹn e se vwo shevwerhe vwẹ evun rẹ uvun	0
E mu ame chere rere	O se fo da kpẹ evun	ọ se fo re kpẹ evun	0
O rhurhu erharha na efọkiridie nẹ	osio na je rhọ, ọyen sorọ	osio na be rhọọ, ọyen sorọ	1
ọ reyọ odja vwọ hworhẹ imize na	senẹ e sa vwọ nabọ fon	senẹ e sa vwọ nabọ gbe	0
Mavọ yẹn a sa vwọ reyọ inemẹ na vwọ nọ aphia na?	Wọ reyọ inemẹ na vwo ghworo akon rẹ aphia na kpatakpata	Wọ reyọ inemẹ na vwo tehe akon rẹ aphia na kpatakpata	0
Die ọyen e se vwo hwerhe ikuekun nẹ evun rẹ uwevwin yẹrẹn egodo rẹ a dia?	ẹghwẹrẹ ọyen e se vwo hwerhe ikuekun nẹ evun rẹ uwevwin yẹrẹn egodo rẹ a dia	aghan ọyen e se vwo hwerhe ikuekun nẹ evun rẹ uwevwin yẹrẹn egodo rẹ a dia	1
Mavọ wọ sa vwọ hworhẹ obọ wẹn fo si o de gbe?	Wọ vwọ reyọ ame vẹ odja vwọ hworhẹ obọ na	Wọ vwọ reyọ ekpẹn vẹ isọn vwọ hworhẹ obọ na	0
Die wo se ru si ewun wẹn da bẹre, yẹn wọ guọnọ rhoma kuo phiyọ?	Wọ sa vwẹ egbede vẹ oruru vwo ko, o she phiyọ	Wọ sa vwẹ egbede vẹ oruru vwọ bẹrẹ gan, o she phiyọ	0
Die ọyẹn a vwọ da ame vwẹ evun rẹ uwevwin?	Uko ọyẹn a vwọ da ame vwẹ evun rẹ uwevwin	ugogono ọyẹn a vwọ da ame vwẹ evun rẹ uwevwin	0
Die ọyen a reyọ agbuna vwo ruẹ evun rẹ ukoni?	Aa reyọ agbuna na vwo mu erhare vwẹ evun rẹ ukoni	Aa reyọ agbuna na vwo fun erhare vwẹ evun rẹ ukoni	0
Die wo se ru si ohwẹvwe de hwe we, senẹ ohwẹvwe vwo jẹ uwe e hwe?	Wọ vwọ nabẹ re evun vọn	Wo vwo je evun eriọ vọn	0
Mavọ wo sa vwọ kọrọ utiẹn nẹ urhe rẹ utiẹn ogrogro?	Wo yere urhe utiẹn na yẹrẹn wọ vwẹ ukpokpo vwo phi omamọ na	Wọ nyavwa urhe utiẹn na yẹrẹn wọ vwẹ ukpokpo vwo phi omamọ na	0
Diẹ ọyen e vwo agbada yẹrẹn agbakana vwo ruẹ?	E vwo yeren kasankasan ogrogro mamọ	e vwo chidia kasankasan ogrogro mamọ	0
Mavọ e vwo ru ewun ọfuanfo rẹ ogberi senẹ ọ sa nabọ fon?	Wọ nabọ reyọ odja vẹ ame ọgberi vwọ fọrhọn	Wọ nabọ reyọ odja vẹ ame ọfonro vwọ fọrhọn	1
Die ofori nẹ e ru si ovwerhẹ de sun ohwo?	Ofori nẹ e re sherhẹ rere a san vwerhẹ	ofori nẹ a ra heha rere a san vwerhẹ	0
Die e vwo rhie echẹ a kanre vẹ akpẹ-usiaphe	A reyọ ọmọ-usiaphe ọfa vwo rhie	A reyọ ọmọ-usiaphe rọye vwo rhie	1
Die wo se ru si uwevwin wẹn de gbe yẹrẹn ikuekun da e rọ?	Wọ reyọ aghan vwo hwerhe uwevwin na	Wọ reyọ agada vwọ nyavwe uwevwin na	0
Die wo se ru si urhurhu rẹ ame de si we?	Wọ sa reyọ uko ọfonro vwọ jẹ ame da	Wo sa reyọ ọgọ ọfonro vwọ jẹ ame da	0
Die ọyẹn emọ-isikuru vwo si ẹbe vwẹ evun rẹ isikuru	ayen reyọ umurhe vwo si ẹbe vwẹ evun rẹ isikuru	ayen reyọ ugbẹ vwo si ẹbe vwẹ evun rẹ isikuru	1
Mavọ e se vwo biẹ okọ hwan urhie okokodo yẹrẹn ọkpẹkpẹvwiẹ?	Wọ reyọ awhorhẹ yẹrẹn urhe ogrogro vwo biẹ okọ na	Wọ reyọ uvi yẹrẹn urhe ogrogro vwo biẹ okọ na	1
Die wo se ru si uwevwin wẹn de mu ebri evun rẹ ason? 	Wo sa vwẹ urhukpẹ vwo mu	Wọ sa vwẹ atujoro vwo mu	0
Mavọ wọ se vwo ru rere uwẹn juwe duvwun evun rẹ ẹghwa?	Rẹ wo vwo ku isabatu phiyọ vwẹ evun rẹ eghwa na	Rẹ wo vwo jẹ isabatu ekuo phiyọ vwẹ evun rẹ eghwa na	0
Mavọ wo se vwo ru rere emu wo chere vwo jẹ riọ ku oma rẹ ipọtu na?	Wo de chere emu na, gbe rhie phiyọ ọkiọvo	Wo de chere emu na, gbe kpogho ọkiọvo	0
Mavọ e se vwo vo ame nẹ orhare cha?	Wọ reyọ ugogono re vwo vo amen a.	Wọ reyọ omoze re vwo vo ame na	0
Die ofori wo ru si otọ da ghworiẹ mamọ?	Wọ yan kpatakpata si wọ da wan vrẹ asan tiọye	Wọ yan dẹndẹn si wọ da wan vrẹ asan tiọye	1
Die ọyen sorọ e vwo vo ame phiẹ uwevwin?	E vo ame phiẹ uwevwin e se vwo jẹ erọvwọn eruo	E vo ame phiẹ uwevwin e se vwo ru erọwvọn	1
Mavọ wo se vwo fun erhare ọ guọnọ torhẹ uwevwin?	Wo ku ame kuo sene erhare na fun	wo ku ikrasi kuo senẹ ehrare na la	0
ọghwẹrẹ na nabọ vwọrọ phiẹ imidaka rẹ ọ kọre nana	rere odin vwo se hwe imidaka rẹ ọ kọre na	rere odin vwo je imidaka rẹ ọ kọre na ehwe.	1
ọmọtẹ na rhurhu emu rẹ o mu rhe azagba na	rere e vwo dje enya ku emu na	rere e vwo je enya edje ku emu na	1
ọshare ku ewun o vwo ọkpan phiyọ rẹ osio vwọ rhọ	rere ekpahe vwo je muo	rere ekpahe vwo muo	0
ọghwẹrẹ na gba ẹvwe rọye si urhe rẹ ọ vwọ kpẹn ọnẹ na	rere ẹvwe na vwo jẹ ọne na ẹriọ	rere ẹvwe na vwo jẹ ọne na echere	0
oghwiyerin na do ariri na phiẹ urhie na	rere o se vwo hwe iyerin buebu	rere o se vwo hwe ephran buebu	0
ọghwẹrẹ na gbogba riariẹ ẹghwa rọye	rere e vwo jẹ ẹghwa na ẹguọghọ	rere e vwo jẹ eghwa na eruo	0
ọshare ku uyegbe-aro phiyọ evun rẹ uvo na	rere uvo na vwọ jẹ aro rọye eruọ	rere uvo na vwọ ro aro rọye	0
Die sorọ a vwọ kanre echẹ e ki shevwerhe?	Senẹ e se vwo shevwerhe vẹ ufuoma	Senẹ a sa vwọ shevwerhe vẹ oshọ	0
Die e se ru si ekpahe de mu ohwo vwẹ okisio?	Wọ vwọ họ ame ọtuabọ, ji ku ewun o vwo ọkpan phiyọ	Wọ vwọ họ ame odjidjiro, ji ku ewun o vwo ọkpaan phiyọ 	0
Ihwo bọn uwevwin rẹ a sa dia senẹ	ayen vwọ kua ruọ dia	ayen vwọ kua no dia	0
Emu echere evun rẹ uwevwin ọyen obo oyovwiri mamọ fikiridie na	ọnerhe a ghwọrọ igho	ọnẹrhẹ a ghwọrọọ ighoo	1
Oyan rẹ ason siẹ urhukpẹ be rọọ obo re chọre mama fikiridie nẹ	ofori wọ mrẹ asan wọ ra vẹ ohwo rọ cha obaro wẹn	ofori wọ mrẹ asan wọ raa, vẹ ohwo rọ cha obaro wẹẹn	0
Mavọ e vwo ruẹ emu o jẹ chiẹ?	E muẹ emu na chere ọ nabe rhorho	E muẹ emu na cheree ọ jẹ rhorho	0
Aye na mu emu rọye phiyọ ọkpọrho rẹ ekuẹnto rere 	emu na vwo jẹ chiẹn 	emu na sa vwọ chiẹn	0
Mavọ wo se vwo ru ọsete o je ghwu wọ da hworhẹ? 	Wo muo dẹndẹn si wọ da hworhẹ	Wo muo yanghayagha ai wọ da hworhe	0
