Prompt	Solution0	Solution1	Label
Tí o bá yọ àpò ogójì kúrò nínú àpò àádọ́ta, àpó mélòó ni yóò sé kù? 	Yóò sé ku àpò ọgọ́fà	Yóò sé ku àpò méwàá 	1
Ọjọ mẹ́jẹ mẹ́jẹ ni a máa n ná ọjà Bẹẹrẹ. Tí a bá ná ọjà náà ní ọjọ Àbámẹ́ta ní ọ̀sè tí ó kọjá, ọjọ wo ni ọjà náà yóò bo sí ní ọ́sè yìí?	ọjọ́ ọjà náà yóò bọ́ sí ọjọ́ ọjọ́bọ̀ 	ọjọ́ ọjà náà yóò bọ́ sí ọjọ́ ọjọ́rú	0
Ọjọ mẹlòó ló wà nínú oṣù Ṣẹ́rẹ́	Ọjọ́ mẹjídínlógún ló wà nínú oṣù Ṣẹ́rẹ́	Ọjọ́ mọ́kànlẹ́lọ́gbọ̀n ló wà nínú oṣù Ṣẹ́rẹ́	1
Iya Gbonke gba Folashade níyànjú láti jẹ ataare mẹ́jì mẹ́jì lójoojúmọ́ fún ọ̀sẹ̀ kan gbáko. Ataare mélòó ni ó yẹ kí Folashade rà?	ó yẹ kí Folashade rà ataare mẹ́rìnlá	ó yẹ kí Folashade rà ataare igba	0
Adio máa n sùn fún wákàtí mẹ́fa lójoojúmọ́. Tí ó bá jí ní aago mẹ́jọ ni àárọ̀ oni, aago mélòó ni Adio sùn?	Adio sùn ní aago mẹ́jìlá òru	Adio sùn ní aago mẹ́ta òru.	1
Ade máa n lọ sí ibi isé fún wákàtí méje lójoojúmó ni gbogbo ọjọ́ ọ̀sẹ̀. Ní òsè yìí, kò leè lọ sí ibi isé fún ọjọ mẹjì nítorí àìsàn ránpé kan tí ó kọ lùú. Wákàtí mélòó ni Ade lò níbi isé lápapò ní ọ̀sè yìí?	Wákàtí ogunlọ́gọ̀ ni Ade lò níbi isé ní ọ̀sè yìí	Wákàtí mọ́kànlélógun ni Ade lò níbi isé ní ọ̀sè yìí	1
Ó yẹ kí Akande kó isu ogójì sílè láti san owó orí Amonpe. Ti isu kọ̀ọ̀kan bá jẹ́ àádọ́ta naira, èló ni Akande yóò ná lórí isu yìí? 	Akande yóò ná igba naira.	Akande yóò ná ọgọjọ naira.	0
Ẹ̀gbọ́n àdúgbò kan fún Jinadu ní àkàsù ẹ̀kọ ọgbọ̀n. Jinadu fún Sade ní àkàsù ẹ̀kọ méjìlélógún. Àkàsù ẹ̀kọ mélòó ló kù lọ́wọ́ Jinadu. 	Àkàsù ẹ̀kọ mẹ́jìlá ló kù lọ́wọ́ Jinadu	Àkàsù ẹ̀kọ méjìdínlógún ló kù lọ́wọ́ Jinadu	1
Tunji n tún yàra re se. Ó pinu láti kó asọ márìndínlógún géérégé sínú àpótí kòòkan. Ó ní orísìí asọ méta – Ankara, sányán àti asọ àrán. Tí ó bá ní àpótí méjì fún Ankara, apoti mẹta fun sányán àti àpótí mérin fún asọ àrán, asọ mélòó ni Tunji ní lápàpoò?	Gbogbo asọ tí Tunji ní jẹ́ márùndínlógóje lápàpoò	Gbogbo asọ tí Tunji ní jẹ́ márùnléláàádójo lápàpoò	0
Adubi ka iye adìyẹ tó wà ní oko Iya Dende sí mẹ́rìndínlógójì. Iye ẹsẹ̀ gbogbo adìyẹ náà yóò jé...	Iye ẹsẹ̀ gbogbo adìyẹ náà yóò jé ọgọ́fàlémésàn-án	Iye ẹsẹ̀ gbogbo adìyẹ náà yóò jé méjìléníàádórin	1
Dejo gba àádọ́ta naira fun owó oúnjẹ kúrò ní ilé. Ó ra iresi naira márùndínlógún ati ewa naira naira méwàá.  Èló ni owó tí ó wà lọ́wọ́ Dejo kù?	owó tí ó wà lọ́wọ́ Dejo sẹ́ kù naira márùndínlógún 	owó tí ó wà lọ́wọ́ Dejo sẹ́ kù naira márùndínlọ́gbọ̀n 	1
Depe  bèrè isé ọde alẹ́ ní aago mẹ́jọ alẹ́, ó sì lo wákàtí méwàá gbáko. Aago mélòó ni Depe padà sí ilé?	Depe padà sí ilé ni aago marun-un àárọ̀	Depe padà sí ilé ni aago méje àárọ̀	0
Amope se ìgbéyàwó ní ọmọ ọdún márùndínlógún. Ó bí àkóbí ọmọ rè léyìn ọdún mẹ́ta. Kíni ọjọ orí Amope nígbà tí ó bí ọmọ yìí?	Amope jẹ́ ọmọ ọdún méjìndínlógún nígbà tí ó bí àkọ́bí reè.	Amope jẹ́ ọmọ ọdún méjìndínlógọ́fà nígbà tí ó bí àkọ́bí reè.	0
Tí Omoyele bá fi ogún naira pamón ní ojoojúmọ́ ní osù Òpẹ. Iye tí Omoyele yóò ti fi pamón ní ìparí osù náà yóò jé...	Omoyele yóò fi mẹ́tàdínlọ́gọ́jọ pamón ní ìparí osù náà	Omoyele yóò fi ogúnlélẹ́gbẹ̀ta pamón ní ìparí osù náà	1
Tí a bá pín ọgọ́fà sí ọ̀nà mẹ́ta ọgba ọgba, kínni ìdá kòókan yóò jé?	ìdá kòókan yóò jé ẹgbẹ̀fà	ìdá kòókan yóò jé ogójì.	1
Iye àwọn tí ó wà ní yàrá ìgbafẹ́ kan jẹ́ ogóje. Iye àwọn okùnrin àti obìnrin tí ó wà ní yàrá náà jẹ́ ọgba ọgba. Mélòó ni iye àwọn obìnrin tí ó wà ní yàrá ìgbafẹ́ náà? 	iye àwọn obìnrin tí ó wà ní yàrá ìgbafẹ́ náà je àádórin	iye àwọn obìnrin tí ó wà ní yàrá ìgbafẹ́ náà je ẹgbaafa	0
Ìdá kan nínú ìdá méta àwọn ọmọ ilé ìwé Ajibode fẹ́ràn ègbo ju ìrẹsì lọ. Tí gbogbo àwon akékòó náà bá jẹ́ àádọ́jò, mélòó nínú àwọn ọmọ ilé ìwé náà ló fẹ́ràn ègbo ju ìresì lọ?	Akékọ̀ó àádọ́ta ló fẹ́ràn ègbo ju ìresì lọ	Akékọ̀ó àádọ́jọ ló fẹ́ràn ègbo ju ìresì lọ	0
Tí ìsù àkàrà kan bá jẹ́ ogún naira, tí ẹja wẹ́wẹ́ méwàá jẹ́ ọgbòn naira. Èló ni ìsù àkàrà méjì àti ẹja wéwé ogún yíò jé?	ìsù àkàrà méjì àti ẹja wéwé ogún yíò jé èédégbèjo naira	ìsù àkàrà méjì àti ẹja wéwé ogún yíò jé ogórùn-ún naira	1
Ìrìnàjò láti Osogbo dé Ọre pèlúu kẹ́tẹ́kẹ́tẹ́ yóò gba ọjọ méwàá. Tí akọ́dà ọba bá gbéra ní Osogbo ní ọjọ àbámẹ́ta, ọjọ́ wo ni yíò dé Ọre?	Akọ́dà ọba yíò dé Ọre ní ọjọ ajè	Akọ́dà ọba yíò dé Ọre ní ọjọ ẹtì	0
Sade pinu láti máa san owó fún onídìrí ní ìparí osù. Owó ìdirun lẹ́ẹ̀kan jẹ́ ogójì naira. Tí Sade bá se irun ní ìgbà mẹ́ta ní osù tó kojá. Èló ni yóò san fún onídìrí?	Sade yóò san ọgọ́fà naira fún onídìrí 	Sade yóò san ọgọ́sàn-án naira fún onídìrí 	
Èè mẹ́ta lósù ni ọkọ̀ tí ó n ná Iresi sí Jalingo máa n lọ. Èè mélòó ni ọkọ̀ náà yóò lọ láti Iresi sí Jalingo lọ́dun?	ọkọ̀ láti Iresi sí Jalingo yóò lọ nígbà mérìndínlógójì lọ́dun	ọkọ̀ láti Iresi sí Jalingo yóò lọ nígbà mérìnlélógójì lọ́dun	0
Supo gba naira ogún nílé fún owó oúnjẹ nígbà tí ó n padà sí ilé ìwé. Ó rí Dekunle tó fún un ní naira mẹwa àti Baba Dauda tó fún un ní naira mejila. Èló ni owó tí Supo ní jẹ lápapò?	Iye owó tí Supo ní jẹ naira mẹ́jìlélógójì lápapò	Iye owó tí Supo ní jẹ naira ógójì lápapò	0
Tolu pinu láti fi ogún naira pamón ní ojoojúmó fún ọ̀sè kan. Èló ni Tolu yóò ti fi pa món nígbà tí ọ̀ṣè náà bá parí?	Tolu yóò ti fi ogóje naira pamón nígbà tí ọ̀ṣè náà bá parí	Tolu yóò ti fi ogunmokanla món nígbà tí ọ̀ṣè náà bá parí	0
Ìjọba se òfin láti dá owó ìtọ́jú àwon olóyún sí ìdajì ní gbogbo ilé ìwòsàn. Tí owó tó ye kí Fadekemi san fún àyẹ̀wò olóyún èèkan lósù bá jé egbèrin naira, èló ni yóò san nígbà tí òfin ìjọba náà bá fi ẹsẹ̀ múlè?	Fadekemi yóò san irínwó naira fún àyẹ̀wò náà	Fadekemi yóò san egbèfà naira fún àyẹ̀wò náà	0
Gbogbo àwọn akẹ́ẹ̀kọ́ ní ilé ìwé Iresi jẹ́ òjìlélúgba. Tí ìdákan nínú ìdá méta gbogbo àwọn akẹ́ẹ̀kọ́ náà bá jẹ́ obìnrin, mélòó ni àwọn akẹ́ẹ̀kọ́ okùnrin tí ó wà ní ilé ìwé náà?	akẹ́ẹ̀kọ́ okùnrin ọgọ́jo ni ó wà ní ilé ìwé náà	akẹ́ẹ̀kọ́ okùnrin ẹgbẹ̀fà ni ó wà ní ilé ìwé náà	0
Olùkọ́ ọgọ́ta ni ó wà ní ilé ìwé gíga Iresi. Tí ìdá méta nínú ìdá márùn-ún gbogbo àwọn olùkọ́ náà bá jẹ́ okùnrin, mélòó nínú àwọn olùkọ́ náà ni obìnrin?	olùkọ́ obìnrin mẹ́rìnlélógún ni ó wà ní ilé ìwé náà	olùkọ́ obìnrin mẹ́fàlélógún ni ó wà ní ilé ìwé náà	0
Gbogbo àwọn akẹ́ẹ̀kọ́ ní ilé ìwé Iresi jẹ́ òjìlélúgba. Tí ìdákan nínú ìdá méta gbogbo àwọn akẹ́ẹ̀kọ́ náà bá jẹ́ obìnrin, mélòó ni àwọn akẹ́ẹ̀kọ́ obìnrin tí ó wà ní ilé ìwé náà?	akẹ́ẹ̀kọ́ obinrin ọgọ́rin ni ó wà ní ilé ìwé náà	akẹ́ẹ̀kọ́ obinrin ẹgbẹ̀rin ni ó wà ní ilé ìwé náà	0
Olùkọ́ ọgọ́ta ni ó wà ní ilé ìwé gíga Iresi. Tí ìdá méta nínú ìdá márùn-ún gbogbo àwọn olùkọ́ náà bá jẹ́ okùnrin, mélòó nínú àwọn olùkọ́ náà ni okunrin?	olùkọ́ okunrin mẹ́rìnlélógójì ni ó wà ní ilé ìwé náà	olùkọ́ okunrin mẹ́jìlélógún ni ó wà ní ilé ìwé náà	0
Tí a bá pín igba pẹ̀lú márùn-ún, kínni a máa ní?	Pípín igba lọ́nà márùn-ún yóò fún wa ní ogójì	Pípín igba lọ́nà márùn-ún yóò fún wa ní àádóta	0
Wákàtí mélòó ló wà nínú ọjọ́ mẹ́ta?	Wákàtí méjìléláàádórin ló wà nínú ọjọ́ mẹ́ta	Wákàtí mésànléláàádórin ló wà nínú ọjọ́ mẹ́ta	0
Ìyàtọ̀ kí ló wà láàárín àrúnlélọ̀tàlélúgba ati ọ̀tàlélúgba	Ìyàtọ̀ àrún ló wà láàárín àrúnlélọ̀tàlélúgba ati ọ̀tàlélúgba	Ìyàtọ̀ kí ló wà láàárín ọgọ́fà ati ọ̀tàlélúgba	0
Ó gba ọkùnrin kan ní wákàtí mésàn-án láti sán oko igba mẹ́ta, wákàtí mélòó ni yóò gba ọkùnrin mẹ́ta láti sán oko náà?	wákàtí kan ni yóò gba ọkùnrin mẹ́ta láti sán oko náà	wákàtí mẹ́ta ni yóò gba ọkùnrin mẹ́ta láti sán oko náà	1
Tí a bá fẹ́ pín òódúnrún sí ọ̀nà márùn-ún ọgba ọgba, kínni ìdá kòókan yóò jé?	ìdá kòókan yóò jé àádóta	ìdá kòókan yóò jé ọgọ́ta.	1
Tí Yorùbá bá kí ni kú ọjọ́kanrí, ó tún mọ̀n sí wípé	aago mẹ́jìlá sí mẹ́jì ọ̀sán la wà	aago mẹ́jìlá sí mẹ́jì àárọ̀ la wà	0
Fadeki ra bata mẹ́fà ní ẹgbẹ̀fà naira. Èló ni o ra bata kòòkan?	Bàtà kòòkan jẹ́ igba naira	bàtà kòòkan jẹ́ òódúnrún naira	0
Tí Yorùbá bá kí ni kú ìrọ̀lé, ó tún mọ̀n sí wípé	aago márùn-ún sí mẹ́fà àárò la wà	aago márùn-ún sí mẹ́fà alé la wà	1
Baba Gbongon to isu ní igba sí àwọn abà oko rẹ̀. Tí ó bá to isu náà sí abà márùn-ún, isu mélòó ni Baba Gbongon ní lápapò?	Baba Gbongon ní isu ọgbàlá kan lápapò	Baba Gbongon ní isu ẹgbẹ̀rún kan lápapò	1
Osù mélòó ló wà nínú ọdún méjì?	Osù mẹ́tàdínlọ́gbọ̀n ló wà nínú ọdún méjì	Osù mẹ́rìnlélógún ló wà nínú ọdún méjì	1
Ọjọ́ mélòó lówà nínú ọ̀sẹ̀ méwàá	Ọjọ́ àádọ́rin lówà nínú ọ̀sẹ̀ méwàá	Ọjọ́ àádọ́jọ lówà nínú ọ̀sẹ̀ méwàá	0
Dupe ra ẹyin méjìlá ní ẹgbẹ̀ta naira. Ó ta ìkòòkan ní ọgọ́ta naira. Èrè èló ni Dupe jẹ lórí ọjà náà?	Èrè ọgọ́fà naira ni Dupe jẹ lórí ọjà náà	Èrè àádọ́fà naira ni Dupe jẹ lórí ọjà náà	0
Dauda ní ẹgbèrún mewa lọwọ. Ó fi ìdá kan nínú ìdá márùn-ún owó náà ra oúnje, ó fi ìdá meji nínú márùn-ún ra ìwé, ósì fi ìda kan nínú márùn-ún ra asọ. Èló ni owó náà sékù?	Ẹgbàwá ni owó náà sékù	Ẹgbàafà ni owó náà sékù	0
Tí a bá fi eéjì pín eéjìdínlógún, kínni yóò ṣékù?	Tí a bá fi eéjì pín eéjìdínlógún, mẹ́sàn-án ni yóò ṣékù	Tí a bá fi eéjì pín eéjìdínlógún, ọgọ́s̀an-án ni yóò ṣékù	0
Tí o bá yọ ọgọ́sàn-án kúrò nínú igba, kí ni yóò kù?	Tí o bá yọ ọgọ́sàn-án kúrò nínú igba, ogún yóò kù	Tí o bá yọ ọgọ́sàn-án kúrò nínú igba, ọgọ́rin yóò kù	0
Anike n múra fún ìgbéwàyọ́. Ó fé ra bàtà tí iye rè jẹ́ ọgọ́jọ naira, gèlè tí ó jé ogóje naira àti asọ tí ó jé igba naira. Anike ní àádọ́talélọ́ọ̀dúnrún naira ní ìpamọ́n. Èló ní ó nílò láti lè ra àwọn nnkan tó fé rà?	Anike nílò àádọ́jọ naira láti lè ra àwọn nnkan tó fé rà	Anike nílò àádọ́sàn-án naira láti lè ra àwọn nnkan tó fé rà	0
Ìyáálé kan ní ẹgbèrún mewa fún owó oúnjẹ. Ó fẹ́ fi ìdá méjì nínú ìdá méwàá owó náà ra ìresì, ìdá méjì nínú ìdá méwàá ra ata, ìdá mẹ́ta nínú ìdá méwàá ra ẹran, ìdá kan nínú ìdá méwàá ra èlùbó, kó sì fi ìdá méjì nínú ìdá méwàá tókù ra gaàrí. Èló ni ìyáálé yìí ná lórí èlùbọ́?	ìyáálé yìí ná ẹgbẹ̀rún kan naira lórí èlùbọ́	ìyáálé yìí ná ẹ̀ẹ́dẹ́gbẹ̀ta kan naira lórí èlùbọ́	0
Ìyáálé kan ní ẹgbèrún mewa fún owó oúnjẹ. Ó fẹ́ fi ìdá méjì nínú ìdá méwàá owó náà ra ìresì, ìdá méjì nínú ìdá méwàá ra ata, ìdá mẹ́ta nínú ìdá méwàá ra ẹran, ìdá kan nínú ìdá méwàá ra èlùbó, kó sì fi ìdá méjì nínú ìdá méwàá tókù ra gaàrí. Èló ni ìyáálé yìí ná lórí ẹran?	ìyáálé yìí ná ẹgbẹ̀rún méta naira lórí èlùbọ́	ìyáálé yìí ná ọ̀tàlélúgba kan naira lórí èlùbọ́	0
Ọjọ àkọ́kọ́ nínú oṣù Erele ọdún yìí bọ sí ojo Ọjọ́rú. Ọjọ wo ni ètàdínlógún òní yóò bọ́ sí?	ètàdínlógún òní yóò bọ́ sí bo si ọjọ́ ẹtì	ètàdínlógún òní yóò bọ́ sí bo si ọjọ́ ọjọ́rú	0
Adigun máa n sisé fún wákàtí mesan-an lójoojúmó ní gbogbo ọjọ́ ọ̀sẹ̀. Wákàtí mélòó ni Adigun lò níbi isé lápapò ní ọ̀sè yìí?	Wákàtí mogunlọ́gọ̀ ni Ade lò níbi isé ní ọ̀sè yìí	Wákàtí márùndínláàádọ́ta ni Ade lò níbi isé ní ọ̀sè yìí	1
Ti ọjọ àkọ́kọ́ nínú ọdún bá bọ́ sí ọjọ Ajé, ọjọ Àjé mélòó ni yóò wà nínú ọdún náà?	Ọjọ́ Àjé méjìléláàádọ́ta ni yóò wà nínú ọdún náà	Ọjọ́ Àjé méjìlélọ́gọ́fà ni yóò wà nínú ọdún náà	0
Ọjọ mẹrin mẹrin ni a máa n ná ọgà Òjé. Tí a bá ná ọjà náà ní ọjọ Ajé ní ọ̀sè tí ó kọjá, ọjọ wo ni ọjà náà yóò bo sí ní ọ́sè yìí?	ọjọ Ọjọ́rú ni ọjà náà yóò bo sí ní ọ́sè yìí	ọjọ Ọjọ́bọ̀ ni ọjà náà yóò bo sí ní ọ́sè yìí	0
Ọ̀sẹ̀ mélòó ló wà nínú ọjọ́ márùndínlógójì	Ọ̀sẹ̀ márùn-ún ló wà nínú ọjọ́ márùndínlógójì	Ọ̀sẹ̀ mẹ́jọ ló wà nínú ọjọ́ márùndínlógójì	0
Ọ̀sẹ̀ mélòó ló wà nínú ọjọ́ mọ́kànlélógún	Ọ̀sẹ̀ méjìlá ló wà nínú ọjọ́ mọ́kànlélógún	Ọ̀sẹ̀ mẹ́ta ló wà nínú ọjọ́ mọ́kànlélógún	1
Ọ̀sẹ̀ mélòó ló wà nínú ọdún méjì	Ọ̀sẹ̀ ọ̀kànlélọgórùn-ún ló wà nínú ọdún méjì	Ọ̀sẹ̀ èrinlélogórùn-ún ló wà nínú ọdún méjì	1
Funke máa n ná ìdá kan nínú ìdá mẹ́rin owó oṣù rẹ lórí asọ. Tí owó oṣù rẹ bá jẹ ẹgbẹ̀rún mẹ́fà, èló ni Funke ná lórí asọ ni oṣù yìí?	Ẹ̀ẹ́dẹ́gbẹ̀jọ naira ni Funke ná lórí asọ ni oṣù yìí	Ẹ̀ẹ́dẹ́gbẹ̀wàá naira ni Funke ná lórí asọ ni oṣù yìí	0
Kínni ìlàrún ẹ̀ẹ́dẹ́gbẹ̀rún yóò jé?	Àádówàá ni ìlàrún ẹ̀ẹ́dẹ́gbẹ̀rún	Ọgọ́sàn-án ni ìlàrún ẹ̀ẹ́dẹ́gbẹ̀rún	1
