Prompts	Solution0	Solution1	Label
Nọ whọ tẹ rọo nọ owezẹ ze ohiohiẹ eva obọ uwou, eme họ eware ọsosuọ nọ ufou nọ who re ruẹ re whọ rehọ fiobọhọ kẹ orua ra re uwou na o fo?	 Nọ whọ tẹ rọo nọ owezẹ ze, ọrọ ọsosuọ, ruẹrẹ ewha ra họ, who ve where ukpẹ ra, whọ vẹ ruẹrẹ eviẹ ra họ fuafo, ute no ọhena no, who ve where otuwo na, ọfa whọ vẹ wẹ iluhu na fihọ ezuzu, o rọ urere whọ vẹ wozẹ abọ ra who teti mu iruo efa họ	Nọ whọ tẹ rọo nọ owezẹ ze, ọrọ ọsosuọ, ruẹrẹ ewha ra họ, who ve where iwhu ra, whọ vẹ ruẹrẹ eviẹ ra họ fuafo, ute no ọhena no, who ve where otuwo na, ọfa whọ vẹ wẹ iluhu na fihọ ezuzu, o rọ urere whọ vẹ wozẹ abọ ra who teti mu iruo efa họ	0
Eme ufou nọ who re ruẹ nọ o tẹ rọ ute ra re whọ wozẹ imidhe nọ atẹ re emu no, eva orua ra?	Nọ o tẹ rọ ute ra, orọ ọsosuọ who re koko imidhe gbe igho na kpobi họ, who ve worie ae vẹre re who si emu nọ a re kiọkọ no ae no, ute no ohena no, whọ vẹ rehọ odha gbe uzi wozẹ ae zieza, ofariẹ, whọ vẹ rehọ ame ofoafo worie ae je ru ae ya, ọrọ urere who ve koko ae họ ekete foafo.	Nọ o tẹ rọ ute ra, orọ ọsosuọ who re koko imidhe gbe igho na kpobi họ, who ve worie ae vẹre re who si emu nọ a re kiọkọ no ae no, ute no ohena no, whọ vẹ rehọ ẹkpẹ gbe itho wozẹ ae zieza, ofariẹ, whọ vẹ rehọ ame ofoafo worie ae je ru ae ya, ọrọ urere who ve koko ae họ ekete foafo.	0
Oghẹrẹkẹ uruemu vẹ who re dhesẹ nọ erara a tẹ ze uwou ra a jẹ keria obọ otuwou?	Nọ erara a tẹ erara e tẹ nyaze, who re yere ae avọ ọghọ gbe ehwẹ, who ve fiobọhọ kẹ ọsẹ avọ oni ra kẹ ae egbara, nọ u te no ọhena no, whọ vẹ kẹ ae ame ayo udi nọ a tẹ nọ, ọfariẹ who ve fibo nọ ekpako na a tẹ be ta ẹme, orọurere, whọ vẹ nyavrẹ nọ o tẹ rọ nọ who gbe bi ru oware ofa ha.	Nọ erara a tẹ erara e tẹ nyaze, who re yere ae avọ ọghọ gbe ehwẹ, who ve fiobọhọ kẹ ọsẹ avọ oni ra kẹ ae egbara, nọ u te no ọhena no, whọ vẹ kẹ ae ame ayo udi nọ a tẹ nọ, ọfariẹ whọ vọ họ ta ẹme nọ ekpako na a tẹ be ta ẹme, orọurere, whọ vẹ nyavrẹ nọ o tẹ rọ nọ who gbe bi ru oware ofa ha.	0
Eme ufou nọ who re ru nọ otuwou na o tẹ rọ gbegbe yọ ọsẹ gbe oni ra a ta nọ who wherie	Nọ otuwou na o tẹ rọ gbegbe, whẹ vẹ tọlọ ebe gbe ikoko nọ e rọ otọ na no, whọ vẹ rehọ oma kpotọ where ekotọ ukpẹ na, nọ u te no ọhena no, who ve voro ovu nọ egbara gbe emẹjẹ na nọ ziezi, ọfa whọ vẹ rehọ ame gbe odha ririe otuwou na, orọ urere who ve rovie ethe na kẹ ofou ọkpokpọ.	Nọ ukpẹ na o tẹ rọ gbegbe, whẹ vẹ tọlọ ebe gbe ikoko nọ e rọ otọ na no, whọ vẹ rehọ oma kpotọ where ekotọ ukpẹ na, nọ u te no ọhena no, who ve voro ovu nọ egbara gbe emẹjẹ na nọ ziezi, ọfa whọ vẹ rehọ ame gbe odha ririe otuwou na, orọ urere who ve rovie ethe na kẹ ofou oyoma.	0
Eve ufou nọ who re ro fiobọhọ nọ oni ra o te bi there ẹbẹ eva owouemu yọ ọguọlọ obọufihọ ra?	Nọ oni ra o te bi there ẹbẹ, whọ rẹ wozẹ ebe na rọ kẹe, whọ vẹ biẹae ẹrera eva odhe, nọ u te no ọhena no, who ve vo ame nọ a rẹ rọ wozẹ ebẹro na, ọfariẹ, whọ vẹ kẹe ekwakwa emu nọ ọ tẹ guọlọ ae, orọ urere who ve fiọbọhọ kẹe wozẹ imidhe na nọ ote there ẹbẹ na reno.	Nọ oni ra o te bi there ẹbẹ, whọ rẹ wozẹ ebe na rọ kẹe, whọ vẹ biẹae ẹrera eva odhe, nọ u te no ọhena no, who ve vo ame nọ a rẹ rọ wozẹ ebẹro na, ọfariẹ, whọ vẹ kẹe ekwakwa emu nọ ọ tẹ guọlọ ae, orọ urere who ve fiọbọhọ kẹe kpe imidhe na nọ ote there ẹbẹ na reno.	0
Re whọ tẹte wezẹ, whọ rẹ	Re whọ tẹte wezẹ, whọ rẹ kwa ikolo rag be ebe ra zihie fihọ oria rae. Whọ vẹ furie, ikpẹ nọ whọ guọlọ họ, nọ u te no ọhena no, whọ vẹ kae ethẹ na, ọfariẹ, whọ vẹ ruẹrẹ ẹkpa isukulu ra họ kẹ ohiohiẹ, orọ urere, who ve kiẹzẹ wezẹ dhedhẹ.	Re whọ tẹte wezẹ, whọ rẹ kwa ikolo rag be ebe ra zihie fihọ oria rae. Whọ vẹ furie, ikpẹ nọ whọ guọlọ họ, nọ u te no ọhena no, whọ vẹ kae ethẹ na, ọfariẹ, whọ vẹ ruẹrẹ ẹkpa isukulu rae họ kẹ ohiohiẹ, orọ urere, who ve kiẹzẹ wezẹ dhedhẹ.	0
Nọ iniọvo ọmaha ra ọtẹ be va viẹ eva obọ uwou …	Nọ iniọvo ọmaha ra ọtẹ be viẹ, whọ vẹ nọ oware nọ o be via, whọ vẹ rehọ eme iwowou whre ae ẹrera, nọ u te no ọhena no, whọ vẹ kẹ ae ame ayo emu o tẹ rọ nọ ohọ u bi kpe ae, ọfariẹ, who ve se ọsẹ gbe oni ra nọ o tẹ rọ nọ eviẹ na ukuhọ họ, orọ urere, whọ rẹ jọ kugbe ae bẹ siẹ nọ a rẹ fọtou.	Nọ iniọvo ọkpako ra ọtẹ be viẹ, whọ vẹ nọ oware nọ o be via, whọ vẹ rehọ eme iwowou whre ae ẹrera, nọ u te no ọhena no, whọ vẹ kẹ ae ame ayo emu o tẹ rọ nọ ohọ u bi kpe ae, ọfariẹ, who ve se ọsẹ gbe oni ra nọ o tẹ rọ nọ eviẹ na ukuhọ họ, orọ urere, whọ rẹ jọ kugbe ae bẹ siẹ nọ a rẹ fọtou.	0
Nọ o tẹ rọ ute ra re who vo ame kẹ uwou na…	Nọ o tẹ rọ ute ra, whọ vẹ wọ igogolo na kpohọ obọ oza, whv ve vo amen a ẹrera re o gbe whẹ kufiẹ hẹ, nọ u te no ọhena no, whọ vẹ wọe kpohọ obọ uwou ẹrera, ọfariẹ, who ve ku ei họ igogolo nọ a rọ sẹro ame, orọ urere, who ve ru igogolo na họ fuafo kẹ oke ọfa.	Nọ o tẹ rọ ute ra, whọ vẹ wọ ibire na kpohọ obọ oza, whv ve vo amen a ẹrera re o gbe whẹ kufiẹ hẹ, nọ u te no ọhena no, whọ vẹ wọe kpohọ obọ uwou ẹrera, ọfariẹ, who ve ku ei họ igogolo nọ a rọ sẹro ame, orọ urere, who ve ru ibire na họ fuafo kẹ oke ọfa.	0
Eme ufou nọ who re ruẹ nọ whọ tẹ ruẹ nọ ighẹ nọ e wariẹ uwou ra họ o rọ gbegbe?	Otẹrẹnọ ighẹ nọ e wariẹ uwou ra họ o rọ gbegbe, orọsosuọ, whọ rẹ tọlọ iluhu gbe ebe nọ e rọ otọ na no, whọ vẹ rehọ ẹgha where ighẹ na ziezi, nọ u te no ọhena no, whv ve koko iluhu na họ oria ọvo, ofariẹ, whọ vẹ wẹ ae họ ezuzu, orọurere, whọ vẹ rehọ odha wozẹ abọ ra.	Otẹrẹnọ ighẹ nọ e wariẹ uwou ra họ o rọ gbegbe, orọsosuọ, whọ rẹ tọlọ iluhu gbe ebe nọ e rọ otọ na no, whọ vẹ rehọ ẹgha where ighẹ na ziezi, nọ u te no ọhena no, whv ve koko iluhu na họ oria ọvo, ofariẹ, whọ vẹ wẹ ae họ ezuzu, orọurere, whọ vẹ rehọ odha wozẹ akọ ra.	0
Nọ ọsẹ gbe oni ra a gbẹ rọ uwou ho, ẹvẹ ufou nọ whọ rẹ rehọ ẹro te uwou na, bẹsiẹ nọ a re zihietha.	Nọ ọsẹ gbe oni ra a gbẹ riẹ hẹ, whọ rẹ jọ eva uwou na dhedhẹ, whọ rẹ ruẹ nọ who rehe roviẹ ẹthẹ na kẹ erara ha, nọ u te no ọhena no, who re ru uwou na fua je kokie họ, ọfariẹ, whọ vẹ rehọ oke ra se ebe ra, orọurere, who re dede ọsẹ gbe oni ra ziezi nọ a te zihieze.	Nọ ọsẹ gbe oni ra a gbẹ riẹ hẹ, whọ rẹ jọ eva uwou na dhedhẹ, whọ rẹ ruẹ nọ who rehe roviẹ ẹthẹ na kẹ erara, nọ u te no ọhena no, who re ru uwou na fua je kokie họ, ọfariẹ, whọ vẹ rehọ oke ra se ebe ra, orọurere, who re dede ọsẹ gbe oni ra ziezi nọ a te zihieze.	0
Nọ who te lele oni ra kpohọ obọ eki e dẹ eware emuore..	Nọ who te kpohọ obọ eki,who ve lele ei wọ ẹkpa eware na, who ve lelie salọ ebe ekpokpọ, nọ u te no ọhena no, who ve kru ugho na ziezi bẹsenọ ọ tẹ guọliẹ, ọfariẹ, who ve fiobọhọ kẹe wọ ẹkpa eware nọ ọ be dẹ na, orọurere, whọ rẹ jọ kẹliẹ bẹsenọ wha re te obọ uwou.	Nọ who te kpohọ obọ eki,who ve lele wọ ẹkpa eware na, who ve lelie salọ ebe ekpokpọ, nọ u te no ọhena no, who ve kru ugho na ziezi bẹsenọ ọ tẹ guọliẹ, ọfariẹ, who ve fiobọhọ kẹe wọ ẹkpa eware nọ ọ be dẹ na, orọurere, whọ rẹ jọ kẹliẹ bẹsenọ wha re te obọ uwou.	0
Nọ ọthoeki ọ tẹ kẹ ohwẹ ugho gbavo, nọ who lelie dẹ oware eva obọ eki…	Nọ ọthoeki ọ tẹ kẹ ohwẹ ugho gbavo, whọ vẹ rehọ oma kpotọ kele ugho na, who ve zihie ọgbavo na avọ adhẹ, who vey ere ọthoeki na rọ kẹ eki nọ what ho na, ọfariẹ, who ve mie eware nọ whọ dẹ na, whọ vẹ sẹro rae, whọ vẹ nyavrẹ nọ whọ riẹ nọ whẹ yọ owou uziẹme.	Nọ ọthoeki ọ tẹ kẹ ohwẹ ugho gbavo, whọ vẹ rehọ oma kpotọ kele ofou na, who ve zihie ọgbavo na avọ adhẹ, who vey ere ọthoeki na rọ kẹ eki nọ what ho na, ọfariẹ, who ve mie eware nọ whọ dẹ na, whọ vẹ sẹro rae, whọ vẹ nyavrẹ nọ whọ riẹ nọ whẹ yọ owou uziẹme.	0
Eva eki nọ ahwo buobu a jẹ be dẹ jẹ zẹ...	Eva eki na, whọ rẹ nya ẹrera eva udevie ahwo na, whọ vẹ tọlọ eware nọ whọ guọlọ ọvo, nọ u te no ọhena no, whọ vẹ nọ ọthoeki na unu ugho, ọfariẹ, whọ vẹ wha osae ogbagba rọ kẹ eware nọ whọ dẹ na, orọurere, whọ vẹ wọ ẹkpa ra vrẹ ziẹzi.	Eva eki na, whọ rẹ nya ẹrera eva udevie ahwo na, whọ vẹ tọlọ eware nọ whọ guọlọ ọvo, nọ u te no ọhena no, whọ vẹ nọ ọthoeki na unu ugho, ọfariẹ, whọ rẹ wha osae ogbagba rọ kẹ eware nọ whọ dẹ na ha, orọurere, whọ vẹ wọ ẹkpa ra vrẹ ziẹzi.	0
Epanọ whọ rẹ rọ dẹ ibimire ekpokpọ eva obọ eki…	Nọ whọ tẹ be dẹ ibimire, orọsosuọ who re riwi ibimire na, who ve dheobọ tea e sọ a rọ ziezi, who ve se ore rae sọ a rọ wewere, whọ vẹ nọ ohwo nọ ọ be zẹ ae na kpahe ọnọ ọ mae woma, orurere whọ vẹ rehọ oma kpotọ sanọ ae whọ tẹ te wha osa.	Nọ whọ tẹ be dẹ ibimire, orọsosuọ who re riwi ibimire na, who ve dheobọ tea e sọ a rọ ziezi, who ve se ore rae sọ a rọ wewere, whọ vẹ nọ okwori na kpahe ọnọ ọ mae woma, orurere, whọ vẹ rehọ oma kpotọ sanọ ae whọ tẹ te wha osa.	0
Nọ whọ tẹ nya he dẹ iwhu eva obọ eki…	Nọ whọ tẹ be dẹ iwhu, who re ri hie ziezi sọ, uti fou ohwẹ, who ve ri hie sọ ọ te were ohwẹ, nọ u te no ohena no, who ve dhe obọ te ewhu na sọ emamọ, ọfariẹ, whọ vẹ nọ unu ugho riẹ jẹ tho ẹ avọ adhẹ, orurere, whọ vẹ sanọ ọnọ ọmae woma jẹ wha osa.	Nọ who te bi tho iwhu, who re ri hie ziezi sọ, uti fou ohwẹ, who ve ri hie sọ ọ te were ohwẹ, nọ u te no ohena no, who ve dhe obọ te ewhu na sọ emamọ, ọfariẹ, whọ vẹ nọ unu ugho riẹ jẹ tho ẹ avọ adhẹ, orurere, whọ vẹ sanọ ọnọ ọmae woma jẹ wha osa.	0
Eme ufou nọ who re ruẹ nọ ọthoeki ọ tẹ kẹ ohwẹ eware nọ e kao vi ugho nọ whọ wha?	Nọ ọthoeki na ọ tẹ kẹ ohwẹ okakao, orọsosuọ, whọ rẹ kiẹ eware nọ whọ dẹ na avọ ẹrera, who ve kele ae ọvoọvo, nọ u te no ohena no, who ve zihie a vọ adhẹ he nọ onọ oware nọ u bi vruẹ na, whọ vẹ hẹrẹ bẹse nọ a rẹ kẹ ohwẹ eware nọ ivru na.	Nọ ọthoeki na ọ tẹ kẹ ohwẹ okakao, orọsosuọ, whọ rẹ kiẹ edhere ra ẹrera, who ve kele ae ọvoọvo, nọ u te no ohena no, who ve zihie a vọ adhẹ he nọ onọ oware nọ u bi vruẹ na, whọ vẹ hẹrẹ bẹse nọ a rẹ kẹ ohwẹ eware nọ ivru na.	0
Nọ whọ tẹ be hẹrẹ re whọ wa osa e va obọ eki, yọ ahwo a rọ buobu?	Nọ whọ tẹ be hẹrẹ re whọ wa osa, who re dikihiẹ emu ahwo ọfa na ababọ edou, who ve kru eware nọ whọ dẹ avọ ziezi, who du tuhu ayo doku ahwo ho, nọ u te te ute ran a, who ve kpohọ obaro, whọ vẹ wha osa ovẹrẹ, whọ vẹ nyavrẹ.	Nọ whọ tẹ be hẹrẹ re whọ wa osa, who re dikihiẹ emu ahwo ọfa na ababọ edou, who ve kru eware nọ whọ dẹ avọ ziezi, who ve tuhu je doku ahwo, nọ u te te ute ran a, who ve kpohọ obaro, whọ vẹ wha osa ovẹrẹ, whọ vẹ nyavrẹ.	0
Nọ whọ tẹ nya e dẹ emu eva oria nọ a jẹ zẹ emuore…	Eva oria nọ a jẹ zẹ emuore, who re yere iruiruo na avọ adhẹ, whọ vẹ hẹrẹ re u te ute ra, whọ vẹ wha osa emu na whọ tẹte reẹ. Ọfariẹ, whọ vẹ keria fihọ emẹjẹ na dhedhẹ nọ whọ tẹ be re emu na.	Eva ukpẹ na, who re yere iruiruo na avọ adhẹ, whọ vẹ hẹrẹ re u te ute ra, whọ vẹ wha osa emu na whọ tẹte reẹ. Ọfariẹ, whọ vẹ keria fihọ emẹjẹ na dhedhẹ nọ whọ tẹ be re emu na.	0
 Nọ ọsẹ gbe oni ra a te vi ohwẹ nya he dẹ ibrẹdi eva oria nọ okẹle…	Nọ a te vi owhẹ he dẹ ibrẹdi, who ve yere ohwo nọ ọ be zẹe na, whọ vẹ nọ onọ ibrẹdi nọ whọ guọlọ na, nọ u te no ohena no, whọ vẹ kẹe unu ugho nọ ọzẹriẹ, who ve yere ohwo nọ ọ be zẹe na whọ tẹte nyavrẹ.	Nọ a te vi owhẹ he dẹ ibrẹdi, who ve yere ohwo nọ ọ be zẹe na, whọ vẹ nọ onọ ibrẹdi nọ whọ guọlọ na, nọ u te no ohena no, whọ vẹ kẹe unu ugho nọ ọzẹriẹ, whọ vọ la ohwo nọ ọ be zẹe na eka whọ tẹte nyavrẹ.	0
Nọ a te vi ohwẹ he dẹ oware, yọ whọ ruẹ oria nọ a be jẹ zẹe he.?	Whọ gbẹ ruẹ oria nọ a be jẹ zẹe he, orọsosuọ whọ rẹ nọ ọkpakọ nọ o dhesẹ edhere kẹ owhẹ, avọ adhẹ, whọ vẹ hẹ nya ẹrera bẹse nọ who re te oria na, whọ vẹ dẹ oware nọ a vi owhẹ na, ọfariẹ, whọ wẹ wọe kpo ẹrera, orọurere, whọ vẹ vuẹ ọsẹ gbe oni ra eware kpobi nọ evia.	Whọ gbẹ ruẹ oria nọ a be jẹ zẹe he, orọsosuọ who re muofu zihe kpohọ obọuwou, whọ vẹ hẹ nya ẹrera bẹse nọ who re te oria na, whọ vẹ dẹ oware nọ a vi owhẹ na, ọfariẹ, whọ wẹ wọe kpo ẹrera, orọurere, whọ vẹ vuẹ ọsẹ gbe oni ra eware kpobi nọ evia.	0
Nọ who te lele orua ra e re emu eva oria nọ a jọ zẹ emuore, eme ufou nọ who re ruẹ re whọ tẹ te keria?	Nọ whọ tẹ roeva oria nọ a oria nọ a jọ zẹ emuore, who ve yere ahwo nọ a be zẹ na avọ adhẹ, whọ vẹ guọlọ emẹjẹ nọ ọfo nọ whọ rẹ keria, who ve agbara je keria ziezi, ọfariẹ, whọ vẹ hẹrẹ re a kẹ owhẹ obe nọ a kere emuore na fihọ, orọurere, who ve yere ohwo nọ ọbezẹ na ta re whọ tẹ te vuẹ onọ whọ guọlọ.	Nọ whọ tẹ roeva oria nọ a oria nọ a jọ zẹ emuore, who ve yere ọmoti na avọ adhẹ, whọ vẹ guọlọ emẹjẹ nọ ọfo nọ whọ rẹ keria, who ve agbara je keria ziezi, ọfariẹ, whọ vẹ hẹrẹ re a kẹ owhẹ obe nọ a kere emuore na fihọ, orọurere, who ve yere ohwo nọ ọbezẹ na ta re whọ tẹ te vuẹ onọ whọ guọlọ.	0
Nọ whọ tẹ guọlọ fi otọ kọ ewhru…	Orọsosuọ, whọ rẹ wọ ọpia ra kpohọ obọ ẹwọ ohiohiẹ frifri, whọ vẹ gbẹ ebe ithethei na, who vo koko ebe gbọ ibire na họ ikru, ọfariẹ, whọ vẹ mahe ikru na ọrera, orọurere, who ve ru otọ nọ fuafo jẹ ruẹriẹ họ kẹ ẹkọ.	Orọurere, whọ rẹ wọ ọpia ra kpohọ obọ ẹwọ ohiohiẹ frifri, whọ vẹ gbẹ ebe ithethei na, who vo koko ebe gbọ ibire na họ ikru, ọfariẹ, whọ vẹ mahe ikru na ọrera, orọurere, who ve ru otọ nọ fuafo jẹ ruẹriẹ họ kẹ ẹkọ.	0
ẹvẹ who re ro kporo ọlẹ ziezi eva udhu ra?	Orọsosuọ, whọ rẹ rehọ ẹwhẹ ra kporo egọdọ esese, who ve fi ibi elẹ na họ egọdọ na, nọ u te no ọhena no, whọ vẹ rehọ ẹkpẹ ruruae ẹrera, ọfariẹ, whọ vẹ gbẹ ebe nọ erọ ekotọ rae. Orọurere, whọ vẹ hẹrẹ re osou nọ o re fiobọhọkẹ ae.	Orọsosuọ, whọ rẹ rehọ ẹwhẹ ra kporo egọdọ esese, who ve fi ibi igu na họ egọdọ na, nọ u te no ọhena no, whọ vẹ rehọ ẹkpẹ ruruae ẹrera, ọfariẹ, whọ vẹ gbẹ ebe nọ erọ ekotọ rae. Orọurere, whọ vẹ hẹrẹ re osou nọ o re fiobọhọkẹ ae.	0
Eme họ iruẹru nọ who re ruẹ, nọ whọ tẹ guọlọ frẹ ame ku ọgbọ ebe?	Who re vo ame ohiohiẹ frifri nọ oke ugbe dhẹ, who ve ku ame na họ awọ rae ẹrera, nọ u te no ọhena no, who ve ku ame na wariẹ ae họ, ọfariẹ, who re si ebe eyaya nọ ọgbọ na, who ve zihie igogolo na je se eri họ.	Who re vo ame eva oke uvou, who ve ku ame na họ awọ rae ẹrera, nọ u te no ọhena no, who ve ku ame na wariẹ ae họ, ọfariẹ, who re si ebe eyaya nọ ọgbọ na, who ve zihie igogolo na je se eri họ.	0
