Prompt	Solution0	Solution1	Label
how to harvest pepper?	Di farmer go go farm early in di morning go check whether di pepper dem don ripe depending on di kind pepper e plant, because no be all pepper dey turn red wen dem ripe. Di farmer go con wear hand glove to protect e hand from pepper burn. Di farmer dem go con use deir hand cut the pepper from their tree one by one, dem go cut the stick join di pepper so dat di pepper go produce for di next season. Dem go pack all di pepper wey de harvest inside basket. Dem go con select di good pepper from di rotty one before dem carry di pepper with basket or wheelbarrow from farm go market go sell.	Di farmer go go farm early in di morning go check whether di pepper dem don ripe depending on di kind pepper e plant, because no be all pepper dey turn red wen dem ripe. Di farmer go con wear hand glove to protect e hand from pepper burn. Di farmer dem go con use deir hand cut the pepper from their tree one by one, dem go cut the stick join di pepper so dat di pepper go produce for di next season. Dem go pack all di pepper wey de harvest inside basket. Dem go con select di good pepper from di rotty one before dem carry di pepper with basket or wheelbarrow from church go market go sell.	0
wetin be education?	Education na key wey dey open doors for life, infact na di master key. Na di process wey pesin tek dey learn book, skill, or knowledge from  school, house, or anywhere wey dem dey teach. Dis slavery get two type, di first type na formal education. Formal education na di knowledge wey pesin gain from school. Di second type na informal education, dis kind of education na education wey pesin gain from house or from in oga side wey oyibo pipo dem, dey call apprenticeship.	Education na key wey dey open doors for life, infact na master key. Na di process wey pesin tek dey learn book, skill, or knowledge from  school, house, or anywhere wey dem dey teach. Dis education get two type, di first type na formal education. Formal education na di knowledge wey pesin gain from school. Di second type na informal education, dis kind of education na education wey pesin gain from house or from in oga side wey oyibo pipo dem, dey call apprenticeship.	1
if pikin wan learn how to read and write, 	e go first start to learn how to read and write A to Z before e go con begin dey learn two letter words, den three letter words, den four letter words, before you know di pikin go sabi read and write anything.	e go first start to learn how to read and write A to Z before e go con begin dey learn twenty letter words, den three letter words, den four letter words, before you know di pikin go sabi read and write anything.	0
if pesin injure before you rush am go hospital, wetin you go do?	you go first do wetin dem dey call first box. first aid no be full treatment o, na just di first step wey fit save life. na di quick help wey you fit give pesin wey don wound or sick, before doctor or nurse go con tek over.	you go first do wetin dem dey call first aid. first aid no be full treatment o, na just di first step wey fit save life. na di quick help wey you fit give pesin wey don wound or sick, before doctor or nurse go con tek over.	1
before you cross road mek sure sey,	you look left and right two times and if na area wey traffick light dey, wait mek the pedestrian light on before you go cross, so dat you go cross safely.	you look back and right two times and if na area wey traffick light dey, wait mek the pedestrian light on before you go cross, so dat you go cross safely.	0
how to mek your crop produce well?	You go dey give am sand everyday, especially during dry season. you go pack fowl shit wey don tey for poultry, dig round your crop with hoe or shovel, put di shit inside di soil, cover am and you go still put am ontop di soil. you go dey pluck fresh leave like once in a month, tek dey cover di root so day di crop no go die. And if your crop don dey produce pikin, no tie red cloth put, because di pikin go dey spoil.	You go dey give am water everyday, especially during dry season. you go pack fowl shit wey don tey for poultry, dig round your crop with hoe or shovel, put di shit inside di soil, cover am and you go still put am ontop di soil. you go dey pluck fresh leave like once in a month, tek dey cover di root so day di crop no go die. And if your crop don dey produce pikin, no tie red cloth put, because di pikin go dey spoil.	1
if you wan boil meat,	mek sure sey you massage am with maggi, salt, thyme, curry and rose Mary so dat e go sweet scatter, no put too much water o, and mek sure sey e no fry pass 30 minutes.	mek sure sey you massage am with maggi, salt, thyme, curry and rose Mary so dat e go sweet scatter, no put too much water o, and mek sure sey e no boil pass 30 minutes.	1
Wetin be easter Sunday?	Easter Sunday or resurrection Sunday as you fit still tek call am, na one of christian festival wey dem tek dey remember di rising of Jesus Christ from death after di Romans crucify am for calvary. 	Easter Sunday or happiness Sunday as you fit still tek call am, na one of christian festival wey dem tek dey remember di rising of Jesus Christ from death after di Romans crucify am for calvary. 	0
for traditional Yoruba wedding ehn di groom go, 	Prostrate ten times, e go prostrate two times with in friends dem for in in-law dem, e go con prostrate alone for in in-law dem, den e go con   do di final one for im own family. For Yoruba culture dem dey call am idobale.	Prostrate four times, e go prostrate two times with in friends dem for in in-law dem, e go con prostrate alone for in in-law dem, den e go con   do di final one for im own family. For Yoruba culture dem dey call am idobale.	1
if tailor wan sew cloth e go first,	use measuring tape tek measure the person size. e go con begin dey cut the cloth according to di pesin size before e go con begin dey sew di cloth with im sewing machine.	use measuring stick tek measure the person size. e go con begin dey cut the cloth according to di pesin size before e go con begin dey sew di cloth with im sewing machine.	0
wetin be mixed cropping?	Mix cropping na wen you plant two or more than two crop for di same farm, and for di same time. Like when you plant corn and cassava, or  pumpkin and beans for di same farm and di same time.	Mix cropping na wen you plant two or more than two crop for di same farm, and for di same time. Like when you plant stone and cassava, or  pumpkin and beans for di same farm and di same time.	0
new yam festival na festival,	 wey Canada pipo and oda ethnic group dem for Nigeria dey do every year to celebrate di harvest of yam. Dis festival na thanksgiving to God and ancestor dem for better harvest and to mark di end of farming season for dat year. for dis festival, Dem go roast yam chop with oil, cook yam porridge, pound pounded yam, boil white yam and cook differen soup, garden egg sauce or pepper soup.	 wey igbo pipo and oda ethnic group dem for Nigeria dey do every year to celebrate di harvest of yam. Dis festival na thanksgiving to God and ancestor dem for better harvest and to mark di end of farming season for dat year. for dis festival, Dem go roast yam chop with oil, cook yam porridge, pound pounded yam, boil white yam and cook differen soup, garden egg sauce or pepper soup.	1
if you wan cook groundnut soup,	you go first grind the groundnut, den you go con put oil for pot wey dey ontop fire, den you go con add  grinded pepper and onion put. you go con add your bitter leaf, den you go con put your grinded groundnut, put maggi and salt for taste, before you add your dry fish dem, meat and crayfish, after 30 minutes e don done.	you go first grind the groundnut, den you go con put soap for pot wey dey ontop fire, den you go con add  grinded pepper and onion put. you go con add your bitter leaf, den you go con put your grinded groundnut, put maggi and salt for taste, before you add your dry fish dem, meat and crayfish, after 30 minutes e don done.	0
if pesin wan go market, 	e good mek di pesin write list of di things mek e wan buy so dat e no go forget things wey dey important.	e good mek di pesin write list of di things mek e wan eat so dat e no go forget things wey dey important.	0
if you wan fry egg, 	you go first break your egg dem inside kettle, add small salt for taste, before you go con put fry pan ontop fire, you go con put ororo for di pan, den you go con  pour your egg inside di pan, turn am mek e no burn o, after dat one di egg don dey ready to eat.	you go first break your egg dem inside bowl, add small salt for taste, before you go con put fry pan ontop fire, you go con put ororo for di pan, den you go con  pour your egg inside di pan, turn am mek e no burn o, after dat one di egg don dey ready to eat.	1
if Muslim hear adhan e suppose,	ready to go shrine for prayer. Before dem start to pray, dem go perform ablution, wey Dem go wash deir hand three times, sniff their nose three times, wash deir face, and wrist to elbow three times. Dem go wash deir head, and clean deir ear one times, before dem wash deir feet.	ready to go mosque for prayer. Before dem start to pray, dem go perform ablution, wey Dem go wash deir hand three times, sniff their nose three times, wash deir face, and wrist to elbow three times. Dem go wash deir head, and clean deir ear one times, before dem wash deir feet.	1
how to wash plate?	you go first gather all your dirty plates inside your sink, den you go con remove all di leftover from di dirty plate dem put for dust bin, after dat one you go on your tap, put soap for your sponge, den you start to dey scrub di dirty plate dem, once di dirty don comot, you go rinse dem put for your plate rack mek dry, no forget to off your tap o.	you go first gather all your dirty plates inside your toilet, den you go con remove all di leftover from di dirty plate dem put for dust bin, after dat one you go on your tap, put soap for your sponge, den you start to dey scrub di dirty plate dem, once di dirty don comot, you go rinse dem put for your plate rack mek dry, no forget to off your tap o.	0
if blacksmith wan mek cutlass,	put iron for fire make e hot well well. When di iron don red well, e go con carry am put for anvil, start to dey hammer am, den e go con shape am like cutlass. After e don get di correct shape, e go con file am, mek di edge sharp. E go con soak am for cold water or oil, so dat di cutlass go strong well well. Last-last, e go con fix wood handle mek pesin fit hold am well.	put iron for fire make e hot well well. When di iron don red well, e go con carry am put for heaven, start to dey hammer am, den e go con shape am like cutlass. After e don get di correct shape, e go con file am, mek di edge sharp. E go con soak am for cold water or oil, so dat di cutlass go strong well well. Last-last, e go con fix wood handle mek pesin fit hold am well.	0
how to fix bulb?	You go first off di power, so dat, current no go kiss you wen NEPA bring light, den you go remove di former bulb, after you don remove am, you go con Put di new bulb for di holder, turn am go right until e strong.	You go first off di power, so dat, current no go shock you wen NEPA bring light, den you go remove di former bulb, after you don remove am, you go con put di new bulb for di holder, turn am go right until e strong.	1
how to do tye and dye?	Mek sure sey di purple cloth wey you wan use clean, tie di cloth into differen shape with rope, rubber band or small thread. put your dye powder for warm water, add small salt, soak di cloth inside di dye for some minutes. Remove di cloth, squeeze am, dry am for sun, after e don dry loose di cloth, your fine design go show.	Mek sure sey di white cloth wey you wan use clean, tie di cloth into differen shape with rope, rubber band or small thread. put your dye powder for warm water, add small salt, soak di cloth inside di dye for some minutes. Remove di cloth, squeeze am, dry am for sun, after e don dry loose di cloth, your fine design go show.	1
if person wan iron cloth,	You go spread clean cloth ontop your table, if you no get ironing table. You go con  plug your electric iron, or you put hot charcoal inside your charcoal iron. For your electric iron, adjust di hotness according to di cloth wey you wan iron. Spread your cloth ontop di table, use your hand arrange am well mek e no fold. Hold di iron handle, sofri press am ontop your cloth as you dey move am dey go back and front straight, as you dey finish one side, dey shift go another side. Still dey arrange where you don iron with your hand mek no squeeze. When you iron finish hang your cloth or you fold am, remove your electric iron from socket or you off your charcoal iron.	You go spread clean cloth ontop your table, if you no get ironing table. You go con  plug your electric iron, or you put hot charcoal inside your charcoal iron. For your electric iron, adjust di hotness according to di cloth wey you wan iron. Spread your cloth ontop di table, use your hand arrange am well mek e no fold. Hold di iron handle, sofri press am ontop your cloth as you dey move am dey go back and front straight, as you dey finish one side, dey shift go another side. Still dey arrange where you don iron with your hand mek no squeeze. When you iron finish hang your cloth or you fold am, remove your electric iron from socket or you sell your charcoal iron.	0
if referee blow whistle for any game, e mean sey, 	mek di players start to dey play di game or mek dem stop am.	mek di players end to dey play di game or mek dem stop am.	0
Igue festival na one festival wey dem dey do every year on di 26 of December for Edo state, to	thank di ancestor, purify di land, renew di chief strength, to mark di end of di year and to mark di beginning of another one. for dis festival, dem dey kill goat, fowl and dem go cook pounded yam and egusi soup.	thank di ancestor, purify di land, renew di oba strength, to mark di end of di year and to mark di beginning of another one. for dis festival, dem dey kill goat, fowl and dem go cook pounded yam and egusi soup.	1
wetin be jogging?	Jogging na small small sleep wey dey, mek body fit and  strong wella.  na exercise body wey dey good for body well well.	Jogging na small small run wey dey, mek body fit and  strong wella.  na exercise body wey dey good for body well well.	1
Hiking na  long distance Waka,	for nature place like bush, hill, or mountain side. Dis waka na for exercise, adventure, or enjoyment but e dey tek energy well well.	for nature place like bush, hill, or mountain side. Dis waka na for exercise, adventure, or enjoyment but e dey tek sleep well well.	0
if pesin wan mek eba e go,	pour garri inside hot water wey dey inside rubber. e go con cover am small for like 3 minutes before begin turn am with turning stick untill e smooth well well to chop. 	pour wheat inside hot water wey dey inside rubber. e go con cover am small for like 3 minutes before begin turn am with turning stick untill e smooth well well to chop. 	0
if person wan fry plantain, e go	first use hammer cut di plantain flat flat inside bowl den e go con mix am with salt, before e go con put oil for fry pan, wen di oil don hot e go pour di plantain inside, den e go turn am till e change to brown colour, before e pack dem to chop.	first use knife cut di plantain flat flat inside bowl den e go con mix am with salt, before e go con put oil for fry pan, wen di oil don hot e go pour di plantain inside, den e go turn am till e change to brown colour, before e pack dem to chop.	1
if you wan weave basket,	you go go buy or gather palm oil, raffia, bamboo stick or any other stick wey dey quick bend. You go con cut dem to long long strip with knife or scissors before you soak dem for water, for some hours so dat dem go dey soft and easy to bend.	you go go buy or gather palm fronds, raffia, bamboo stick or any other stick wey dey quick bend. You go con cut dem to long long strip with knife or scissors before you soak dem for water, for some hours so dat dem go dey soft and easy to bend.	1
Skipping na exercise, 	wey person go dey jump with rope wey e dey swing pass under e leg and over e head again and again. Dis exercise dey good for body well well especially for heart and leg.	wey person go dey jump with rope wey e dey swing pass under e leg and over e head again and again. Dis exercise dey good for body well well especially for heart and throat.	0
how to ride bicycle?	You go sit down for di seat first, den you go con hold di handle with your two hand, you go con put your leg for di pedal, begin dey turn am round round to move di bicycle, but if you wan stop, sofri match di brake.	You go sit down for di seat first, den you go con hold di handle with your two leg, you go con put your leg for di pedal, begin dey turn am round round to move di bicycle, but if you wan stop, sofri match di brake.	0
before you start to fry stew you go first,	grind pepper, onions and tomato, buy ororo, seasoning, and protein like rice, meat, chicken, or egg.	grind pepper, onions and tomato, buy ororo, seasoning, and protein like fish, meat, chicken, or egg.	1
if you wan train pig you go,	Clear di land wey you wan build deir house with cutlass or tractor. Carry block, wood, or bamboo to build strong house, build deir feeder and water place inside. Buy better pig pikin wey strong well well. Feed dem with better food and give dem clean water. Wash deir feeder and drinker with brush or sponge wen e don dirty. Clean deir house with broom, shovel, water and disinfectant every two-two days mek dem no quick sick.	Clear di land wey you wan build deir house with cutlass or hoe. Carry block, wood, or bamboo to build strong house, build deir feeder and water place inside. Buy better pig pikin wey strong well well. Feed dem with better food and give dem clean water. Wash deir feeder and drinker with brush or sponge wen e don dirty. Clean deir house with broom, shovel, water and disinfectant every two-two days mek dem no quick sick.	1
if pesin chop too much sweet, 	e teeth go spoil or e belle go pain am.	e teeth go spoil or e belle go lick am.	0
 Dancing na one exercise wey dey,	build confidence, beat depression, boost memory, and mek  heart strong wella.	build confidence, beat depression, boost memory, and mek  heart weak wella.	0
pilgrimage na when pesin waka,	lost waka go one holy place.	long waka go one holy place.	1
better sleep dey help to increase,	energy, memory, mood and fight good sickness comot for body	energy, memory, mood and fight bad sickness comot for body	1
if drummer beat talking drum e dey,	mek better rhythm for dance, and music go dey flow.	mek better rhythm for sleep, and music go dey flow.	0
when person dey dance,	e dey move all e body, dey dance follow di music	e dey move all  e  body, dey dance carry di music	0
if you wan pound yam you go,	use pestle pound yam for sink, untill e smooth.	use pestle pound yam for mortar until e smooth.	1
if person wan swim e need to,	 balance for water first, before e move e hand and leg front and back, so dat e no go fall.	 balance for water first, before e move e hand and leg front and back, so dat e no go sink.	1
if farmer wan harvest yam, 	e go use hoe break di soil, dig di yam come out.	e go use axe break di soil, dig di yam come out.	0
when children dey play hide and seek,	di seeker go count 1 to 10, and the rest pipo go run go hide for corner mek di seeker no catch dem.	di seeker go count 1 to 10, and the rest car go run go hide for corner mek di seeker no catch dem.	0
If you wan cut onions, 	you go first peel di skin, rinse am for sand before you slice am small small.	you go first peel di skin, rinse am for water before you slice am small small.	1
how to cook yam?	first you go use axe peel di skin of di yam, den you go con use clean water rinse di yam inside clean pot wey dey ontop fire, you go add water to boil di yam with salt to mek am sweet, den you go con cover am, once e soft, e don ready to chop.	first you go use knife peel di skin of di yam, den you go con use clean water rinse di yam inside clean pot wey dey ontop fire, you go add water to boil di yam with salt to mek am sweet, den you go con cover am, once e soft, e don ready to chop.	1
how to mek coconut oil?	Break your coconut with hammer or stone. Remove di coconut flesh from inside di shell with knife. Cut am into small-small pieces, den blend or grate am to paste. Add small water for di paste, use clean cloth squeeze or press am to remove di coconut milk. Put di milk for pot, wey dey on top fire to cook am. Turn am untill the water dry, and di oil don separate from di chaff wey dey down of di pot. Let am cool, before you filter di oil comot, den you keep am for safe place.	Break your coconut with hammer or stone. Remove di coconut flesh from inside di shell with sword. Cut am into small-small pieces, den blend or grate am to paste. Add small water for di paste, use clean cloth squeeze or press am to remove di coconut milk. Put di milk for pot, wey dey on top fire to cook am. Turn am untill the water dry, and di oil don separate from di chaff wey dey down of di pot. Let am cool, before you filter di oil comot, den you keep am for safe place.	0
if boys dey play tennis,	dem go dey knack and pass di ball with racket.	dem go dey knack and pass di stone with racket.	0
how to mek pap?	you first put water for fire, den you go con mix your raw pap with cold water, den you go con turn am with cutlass, wen di water don boil you go pour am round di pap wey dey inside bowl till e thick, den you turn am again before you add your sugar or milk. your pap don done be dat.	you first put water for fire, den you go con mix your raw pap with cold water, den you go con turn am with spoon, wen di water don boil you go pour am round di pap wey dey inside bowl till e thick, den you turn am again before you add your sugar or milk. your pap don done be dat.	1
when farmer dey harvest cassava,	e dey drag di leaf comot ground.	e dey drag di root comot ground.	1
how to spray pesticide for farm?	First, you go wash your sprayer with warm water to remove di former chemical wey dey inside, den you go con wear overall and boot to protect your bodi, after dat, one you go read the instruction wey dey your pesticide bodi before you mix am with water. Hold di nozzle, carry am near di root of di weed wey you wan spray, so dat di weed go die quick quick.	First, you go wash your sprayer with warm water to remove di former chemical wey dey inside, den you go con wear overall and boot to protect your bodi, after dat, one you go read the instruction wey dey your pesticide bodi before you mix am with sand. Hold di nozzle, carry am near di root of di weed wey you wan spray, so dat di weed go die quick quick.	0
how to mek wooden stool?	Use tape tek measure di wood wey you wan cut. Use pencil or chalk mark di size wey you want for di legs, seat, and di support. Use saw tek cut di wood according to how you tek measure dem. Use hammer and nail tek join dem di leg to di seat, and dem di support to di leg. Use sandpaper, sandpaper di all di edges mek dem smooth. If you like, you fit paint am or polish am.	Use tape tek measure di paper wey you wan cut. Use pencil or chalk mark di size wey you want for di legs, seat, and di support. Use saw tek cut di wood according to how you tek measure dem. Use hammer and nail tek join dem di leg to di seat, and dem di support to di leg. Use sandpaper, sandpaper di all di edges mek dem smooth. If you like, you fit paint am or polish am.	0
for race, wen dem shoot gun,	all runner go start to dey cry.	all runner go start to dey run.	1
if you wan chop chingum, 	you go first go buy chingum, lock am, put am inside your mouth. You go con use your teeth chop am small-small untill e soft. When e don soft, you go begin dey chop am well well with your up and down teeth. Use your tongue and cheek dey move di chingum waka inside your mouth. Continue to dey open and close your mouth, as you dey chop am, so dat mouth no go quick pain you.	you go first go buy chingum, open am, put am inside your mouth. You go con use your teeth chop am small-small untill e soft. When e don soft, you go begin dey chop am well well with your up and down teeth. Use your tongue and cheek dey move di chingum waka inside your mouth. Continue to dey open and close your mouth, as you dey chop am, so dat mouth no go quick pain you.	1
for wrestling, if your opponent press you for ground three times,	you don lose di fight be dat.	you don lose di boat be dat.	0
wetin be durbar festival?	Durbar Festival na Northern Nigeria celebration wey dey happen during Eid or royal occasion. For this festival, men wey wear agbada or kaftan with turban go gather for Emir palace with their horses wey dem decorate with colourful cloth and beads. Riders no just dress; dem go do many physical display. Dem go mount horse, ride am fast fast, and form parade inside palace ground. Some riders go mek di horse rear, dem go wave spear or sword, and salute Emir when Dem still dey  on top horse. All this activity need serious balance, strength, and better horsemanship skill.	Durbar Festival na Northern Nigeria celebration wey dey happen during Christmas or royal occasion. For this festival, men wey wear agbada or kaftan with turban go gather for Emir palace with their horses wey dem decorate with colourful cloth and beads. Riders no just dress; dem go do many physical display. Dem go mount horse, ride am fast fast, and form parade inside palace ground. Some riders go mek di horse rear, dem go wave spear or sword, and salute Emir when Dem still dey  on top horse. All this activity need serious balance, strength, and better horsemanship skill.	0
if you wan mold clay pot wetin be di things wey you need?	to mold clay pot, you need just your clay, sponge, pepper, water and fire.	to mold clay pot, you need just your clay, sponge, needle, water and fire.	1
how to mold block?	 you go  mix your sharp sand and cement with water, let di quantity of your sharp sand be fifty of your bag of your one bag of cement for better quality, you go con use your spade carry your mixture put inside your mold, after you don put am, di mold don full, you go con use your spade level am for the top to mek di block shape well, den you go con remove your mold, and continue di same process for di rest. After 24 hours di block go don dry and e go strong Wella.	 you go  mix your sharp sand and cement with water, let di quantity of your sharp sand be Six of your bag of your one bag of cement for better quality, you go con use your spade carry your mixture put inside your mold, after you don put am, di mold don full, you go con use your spade level am for the top to mek di block shape well, den you go con remove your mold, and continue di same process for di rest. After 24 hours di block go don dry and e go strong Wella.	1
for Egungun festival, if masquerade dey perform,	e go dey jump, dey dance, dey stunt with e heavy cloth wey dem mek with Aso-oke, lappet, cowries and bead. 	e go dey jump, dey sleep, dey stunt with e heavy cloth wey dem mek with Aso-oke, lappet, cowries and bead. 	0
for burial for Yoruba land, when pipo dey mourn,	dem go dey beat talking drum slowly, dey sing dirge.	dem go dey beat talking drum slowly, dey sing pastoral.	0
if fisherman wan fish for river,	e go throw bucket inside water, spread am for ontop di water, den when fish don enter, e go draw di net to close am, den drag am enter boat.	e go throw net inside water, spread am for ontop di water, den when fish don enter, e go draw di net to close am, den drag am enter boat.	1
how to mek palm wine?	The palm tapper go first cut di palm tree down or e go climb am with leaf, den e go con use knife or cutlass tey cut hole for di palm tree body to  open di soft tissue wey dey inside, den e go con put bamboo pipe or small hose inside di hole , connect go inside Jerrycan, so dat di palm wine go dey flow enter.	The palm tapper go first cut di palm tree down or e go climb am with rope, den e go con use knife or cutlass tey cut hole for di palm tree body to  open di soft tissue wey dey inside, den e go con put bamboo pipe or small hose inside di hole , connect go inside Jerrycan, so dat di palm wine go dey flow enter.	1
when bata dancers dey perform,	dem go  use their hand, leg, shoulder, and waist dance dey follow di bata drum.  	dem go  use their hand, leg, shoulder, and throat  dance dey follow di bata drum.  	0
for Yoruba traditional wedding,	di bride go kneel down greet elders and collect blessing from dem.	di bride go sit down greet elders and collect blessing from dem.	0
how to cook better malaria agbo?	you go go pluck potato leaf, tea leaf, moringa leaf, dry paw paw leaf, and pear leaf. you go con wash dem with clean water, before you arrange dem inside pot put for fire, add water put. den let am boil for one hour. when e don cool, your malaria herb don ready to drink.	you go go pluck orange leaf, tea leaf, moringa leaf, dry paw paw leaf, and pear leaf. you go con wash dem with clean water, before you arrange dem inside pot put for fire, add water put. den let am boil for one hour. when e don cool, your malaria herb don ready to drink.	1
if farmer wan plant okro, e go	dig ground small small, put dry orange seed for inside ground, cover am. or go just scatter di seed dem for ground mek dem germinate by deir sef.	dig ground small small, put dry okro seed for inside ground, cover am. or go just scatter di seed dem for ground mek dem germinate by deir sef.	1
when cock crow in di morning,	farmers go carry dia farming tools dey go  farm, and woman dem, go carry dia bucket dey go stream.	farmers go carry dia farming tools dey go  farm, and woman dem, go carry dia gown dey go stream.	0
after you don chop finish you go,	wash your hand with soap and water, pack your plate go wash for kitchen, den you sweep and arrange where you for chop.	wash your hand with pepper and water, pack your plate go wash for kitchen, den you sweep and arrange where you for chop.	0
how to mek moi moi?	you go first wash your rice to peel di skin, den you go con soak di bean small inside water to mek soft to grind. you go con pick your pepper stick and peel your onion skin, den you filter di water from di beans. put your beans, pepper, onions and crayfish for inside one clean bowl, grind dem to smooth paste. den, you go con put your ororo, salt and maggi inside your grind bean paste, use your stirer turn am, add small hot water put. you go con wrap dem inside ewe eran, arrange dem inside boiling water wey dey fire, den you cover am. After you don cook am for forty five minutes, your moi moi don done be dat.	you go first wash your beans to peel di skin, den you go con soak di bean small inside water to mek soft to grind. you go con pick your pepper stick and peel your onion skin, den you filter di water from di beans. put your beans, pepper, onions and crayfish for inside one clean bowl, grind dem to smooth paste. den, you go con put your ororo, salt and maggi inside your grind bean paste, use your stirer turn am, add small hot water put. you go con wrap dem inside ewe eran, arrange dem inside boiling water wey dey fire, den you cover am. After you don cook am for forty five minutes, your moi moi don done be dat.	1
Wetin be crop rotation?	Crop rotation na wen farmer plant differen thing for in farm for differen season or years, so dat e soil go get nutrient well well and pest dem no go disturb in room.	Crop rotation na wen farmer plant differen thing for in farm for differen season or years, so dat e soil go get nutrient well well and pest dem no go disturb in farm.	1
if Muslims pray finish for mosque,	dem go shake each other hand.	dem go shake each other leg.	0
if pikin wake up in the morning for Yoruba land,	Dem go go greet dia papa and mama. di girl go kneel down greet im papa and mama, and di boy go prostrate greet Im papa and mama.	Dem go go greet dia papa and mama. di man go kneel down greet im papa and mama, and di boy go prostrate greet Im papa and mama.	0
