Prompt	Solution0	Solution1	label
Ẹgẹẹnya nee ge ya ibẹ ku ihi lẹ a	A lẹ ihi pẹ, lọ fu enkpọ ofu ẹchi ẹta, a lọ ta bẹchẹ ko nmo chẹẹ a lọ gba.	A lẹ ihi pẹ, lọ fu enkpọ okwọla ẹchi ẹta, a lọ ta bẹchẹ ko nmo chẹẹ a lọ gba.	1
Abe gee kwu ọna ihi lẹ a	Ọna ihi ookwu, a lẹ ihi pẹ tu enkpọ chọla, o kwu je a lẹ ihi a ta tohi lọ wu pia ọna.	Ọna ihi ookwu, a lẹ ihi pẹ tu enkpọ chọla, o kwu je a lẹ ihi a ta tọji lọ wu pia ọna.	1
O ya ku ibẹ ko oyila lẹ ọnọ nẹẹ	Ehee o lọnọ fluflun. A loyila pẹ tu enyi ẹchi ẹpa kwọ ta bẹnọ. O kwu nmo, a lọ gba umu	Ehee o lọnọ fluflun. A loyila pẹ tu enyi ẹchi ẹpa kwọ ta bẹnọ. O kwu nma, a lọ gba umu.	0
Abọ ee ge ya ikuniku lẹ a	Ee ge ya Ikuniku nma oyila nẹẹ. A lẹ oyila pẹ tu enkpọ ko kwu wa, a lọ ma kwu ọ nwu ọda mla ọla.	Ee ge ya Ikuniku nma oyila nẹẹ. A lẹ oyila pẹ tu enkpọ ko kwu wa, a lọ ma kwu ọ pa ọda mla ọla.	0
Ọdang ku ogo le blinyi achẹ gee na pii	Ayipẹnẹchẹ lẹ ogo kpo nyọ okunu ọkpa, ee bi anyilihi le nya ipu ogo a. Ee ge cha ogo a ipu ọkpa ablọ.	Ayipẹnẹchẹ lẹ ogo kpo nyọ okunu ọkpa, ee bi anyilihi le nya ipu ogo a. Ee gaa cha ogo a ipu ọkpa ablọn.	0
Abọ okoho ge gwo ọlẹ lẹ a	Ọdang ka okoho ga gwo ọlẹ, o bi elu kunu lẹ achi kpo go ẹga no dọka chẹẹ o lẹ ọlunu ta lọlọhi.	Ọdang ka okoho ga gwo ọlẹ, o bi ọkọ kunu lẹ achi kpo go ẹga no dọka chẹẹ o lẹ ọlunu ta lọlọhi	1
A dọka o hẹ ẹhọ abọ a ga ya lẹ a	A gaa hẹ ẹgọ, a lẹ achi nmo, ẹnọ lọ chẹ, a lẹ achi a tuba lẹ ọla kwọ. Ẹchi ọha a ga mla ẹnu chẹẹ a gbọọ he ewu.	A gaa hẹ ẹhọ, a lẹ achi nmo, ẹnọ lọ chẹ, a lẹ achi a tuba lẹ ọla kwọ. Ẹchi ọha a ga mla ẹnu chẹẹ a gbọọ he ewu	1
Abọ olobochi ge jọha lẹ a	Olobochi lẹ ẹhi pa, o lẹ ọha je lẹ alekwu. Olobochi gbo pi ina ajẹ a, abọ a na alekwu gaa gbo kẹla a.	Olobochi lẹ ajẹ gwu, o lẹ ọha je lẹ alekwu. Olobochi gbo pi ina ajẹ a, abọ a na alekwu gaa gbo kẹla a	1
Ọdi na alẹchẹ chika o gba ọwọ kuwa	Ọchẹ kwu ẹbẹ no lẹ ọnyi le inalegwu ta, kwu ẹbẹ a họkọ, lẹ oyi kunu pia kla ikplẹyi ekwu ku ọwọnu. O kwu ẹbẹ a he lachẹ kee le.	Ọchẹ kwu ẹbẹ no lẹ ọnying le inalegwu ta, kwu ẹbẹ a họkọ, lẹ oyi kunu pia kla ikplẹyi ekwu ku ọwọnu. O kwu ẹbẹ a he lachẹ kee le.	1
Abọnya ne gee kaluka ku ẹhọ no nwune lẹ a	Ondu ku ẹhọ a lẹ ọchi che tabọ, o lẹ ofu ka, o kwu ọchi eyi kwu ajẹ. O ya lẹ a jaa no kwu ka mẹ. Chẹẹ o kwu aọchi ka tọha.	Ondu ku ẹhọ a lẹ ajẹ che tabọ, o lẹ ofu ka, o kwu ọchi eyi kwu ajẹ. O ya lẹ a jaa no kwu ka mẹ. Chẹẹ o kwu aọchi ka tọha.	0
Ọdang kọ ọchẹ ga  behe ọkpa no chenyi 	Ọchẹ ọma gee je ili owuiye pla bi abọ, o lẹ abọ ọma kwu icho, o bi abọ ọha le ta agwa behe ọkpa a.	Ọchẹ ọma gee je ili owuiye pla bi abọ, o lẹ abọ ọma kwu icho, o bi abọ ọha le ta agwa behe ọwẹ a	0
Odole le je na achẹ gaa le	Ee le enkpọ oona abọ mla oogwa hẹ nyọ aflẹyi,ee kwu odole a biwa chẹẹ ee lẹ abọ na gbọ oole. 	Ee le enkpọ oona ikpo mla oogwa hẹ nyọ aflẹyi,ee kwu odole a biwa chẹẹ ee lẹ abọ na gbọ oole. 	0
Ọlẹchẹ ge la anu foofunung	Ohigbu ọma achẹ lẹ ọlẹ gwo ipọlẹ mla ọmpa uwa, ee kwu pia ugbọga ge le mla ogwa tọha.	Ohigbu ọma achẹ lẹ ọlẹ gwo ipọlẹ mla ọmpa uwa, ee kwu pia aladogbe ge le mla ogwa tọha.	1
Ọchẹ doduu chika o lẹ uklọabọ	A gaa nwu uklọabọ a gee klọchẹ mla ọkpani eyi ka nwu uklọ no fuwọtu a, a lẹ iho ku uklọ la che a gbo nwu. 	A gaa nwu uklọabọ a gee klọchẹ mla ọkpani eyi ka nwu uklọ no fuwọtu a, a lẹ ito ku uklọ la che a gbo nwu. 	0
Eko ku ikeyi achidọma gee hẹhọ gaga	Achẹ ohima gee hẹhọ bajẹ kpata, o lẹ bọda ne uwa kwu ẹchẹ hi mẹ a. Idọma gee achẹ ẹgọma ku ọglẹji	Achẹ ohima gee hẹhọ bajẹ kpata, o lẹ bọda ne uwa kwu ẹchẹ hi mẹ a. Idọma gee achẹ ẹgọma ku otọtẹ	0
Ọtẹoota ge je ije lẹ ọchẹ	Ipọnu ohi nma ada kwu ayi, uwa duuduu ge tọtẹ kpẹm. A gee dọka oola ẹbẹchẹ, a yẹ nyọ tuwa. Apọle ku ofitẹ nee wẹ a.	Ipọnu ohi nma ada kwu ayi, uwa duuduu ge tọtẹ kpẹm. A gee dọka oola ẹbọlẹ, a yẹ nyọ tuwa. Apọle ku ofitẹ nee wẹ a.	0
Ọchẹ le tanyila abo ga ya lẹ a	A lẹ tanyila ẹga ku ọmpa awọ, a le yẹ tu ẹginu, lẹ ikpo kwu ajẹ ko kwu yẹhi.	A lẹ tanyila ẹga ku ọmpa awọ, a le yẹ tu ẹginu, lẹ abọ kwu ajẹ ko kwu yẹhi.	1
A le ọnu chẹ mla ọchẹ no ọtu le bia luwọ	A nyọ tọ ọchẹ ọma, a lẹla kalọ mla anu no che tu nmang, a lẹ ọyi je luwọ. 	A nyọ tọ ọchẹ ọma, a lẹla kalọ mla anu no che tu nmang, a lẹ ọchi je luwọ. 	1
Abọ ee ge ya igbo ku igwu lẹ a	A likpo eje fu kwọ apunu pla, a lẹ igwu a kpo tu ẹgọ lọ gba tẹnẹ chẹ a gbo mọ tu akanjọ ọla ko pa ẹmẹma ẹẹ	A likpo igwu fu kwọ apunu pla, a lẹ igwu a kpo tu ẹgọ lọ gba tẹnẹ chẹ a gbo mọ tu akanjọ ọla ko pa ẹmẹma ẹẹ	1
A lẹ ẹbẹ nmo ka le tajẹ gboji 	A kwu ẹbẹ wa, lọ bu kwu ọchi che ọla ẹchi eyi, onmọchinu a kwọ kpo tu oblifu chẹẹ a gee nwọ jaa no kwu nwu mẹ.	A kwu ẹbẹ wa, lọ bu kwu ọchi che ọla ẹchi eyi, onmọchinu a kwọ kpo tu oblifu chẹẹ a gee nwọ jaa no kwu bia mẹ.	0
Eko ọnọ na achẹ gbo bla ihi nma ẹhọ a	Ee le ihi kpo tu ukpamu mla ẹkpa le bi gọlẹ, e lihi a pla bajẹ inu achi. Ọma na achẹ ge tu ihi oofu tinu a.	Ee le ihi kpo tu ukpamu mla ẹkpa le bi gọlẹ, e lihi a pla bajẹ inu achi. Ọma na achẹ ge tu ili oofu tinu a.	0
Ọdi na Idọma gee ya mla ọba a	Ipu ajẹ na achidọma ge kpo ọdẹhọ lẹbẹkẹ ku iwgu, eye tukpla eje tu ọdang ke kwọ che nma ẹhọ a.	Ipu ọba na achidọma ge kpo ọdẹhọ lẹbẹkẹ ku iwgu, eye tukpla eje tu ọdang ke kwọ che nma ẹhọ a.	1
Abọ ee ge wu akọkọ lẹ 	A gaa bu otuta no nwune te, a lẹ anọ oblonu amang ikpali nya abọ bọbu ka labọ kwọ, lẹ a akọkọ  ga lọnọ gen. 	A gaa wu akọkọ no nwune te, a lẹ anọ oblonu amang ikpali nya abọ bọbu ka labọ kwọ, lẹ a akọkọ  ga lọnọ gen. 	1
Ẹgẹẹnya ne achẹ gee gwiye ọkpa ajidọma a	A ga gwiye ọkpa ajidọma, a liye wu enyi ligi wai lukwọ mla isoso nya iye. A logo hẹ enkpọ ta kliye. O fọtu a lẹ ọwi ta.	Ajidọma ọkpa na alọ ge gwiye a. A liye wu enyi ligi wai lukwọ mla isoso nya iye. A logo hẹ enkpọ ta kliye. O fọtu a lẹ agwa ta.	1
Ọdang ka ga ya lachẹ je ko okwu gekwu	Uchulu ku Idọma eko no okwu gekwu wẹ kahini ọnyakwọchẹ ku apọlẹ le chẹ o gekwu ẹẹ, achọnya gbo diiba.	Uchulu ku Idọma eko no okwu gekwu wẹ kahini ọnyakwọchẹ ku apọlẹ le chẹ o gekwu ẹẹ, achọnya gbo jije.	0
Ejeoohe ge tọtẹ	Ii, gbọbu ka le eyi che ọla, a lẹ ẹchọ mẹmla ikpo ọdọhadọha ha bonu nma anu, a lọ na tu ẹhi chọla gbeko no ge je.	Ii gbọbu ka le eje che ọla, a lẹ ẹchọ mẹmla ikpo ọdọhadọha ha bonu nma anu, a lọ na tu ẹhi chọla gbeko no ge je.	1
Ee lẹ ẹchi pii tọlẹ higbu ikplẹ	Ẹnikplẹ da ayinu kahini a lẹ ainu kwu ọchi kọ ọdaduu no kẹla a o ge bọ anana.	Ẹnikplẹ da ayinu kahini a lẹ ainu kwu ọchi kọ ọdaduu no kwọla a o ge bọ anana	1
Ọbla ka o kla ẹgegeyi ge chẹ lọchẹ gbla ọnwu tu iye	Ẹyinu wẹ ku ọchẹ no ge kla ẹgegeyi gee lachẹ mla ọda lọhi lẹ ang	Ẹyinu wẹ ku ọchẹ no ge kla ẹgegeyi ga lachẹ mla ọda lọhi lẹ ang	1
Ọnyakwọchẹ ga chokonu kla ọchẹ	Oflọchi bli, o lẹ ọchẹ a nmije, le inalegwu ta, le enkpọ hẹ tu okonu kwu pia tọchẹ a abọ chẹẹ o lọ na ipeyi kunu	Oflọchi bli, o lẹ ọchẹ a higwu, le inalegwu ta, le enkpọ hẹ tu okonu kwu pia tọchẹ a abọ chẹẹ o lọ na ipeyi kunu	1
Eko na ọya fiiajẹ otu abọ anyakwọchẹ gee gbọ ọcha lẹ a	Ogbọ kọ ọcha dooduma wẹ ọcham ta kpa kpa kpa	Ogbọ kọ ọka dooduma wẹ ọcham ta kpa kpa kpa	0
Ọdi wẹ oya ogbubita ajidọma a	Ogbubita wẹ uchulu ku ọkaooda mla ohioochila. Ọchẹ no gaa dọka ko gbubita, chẹẹ achẹ ọha chẹ amẹ	Ogbubita wẹ uchẹ ku ọkaooda mla ohioochila. Ọchẹ no gaa dọka ko gbubita, chẹẹ achẹ ọha chẹ amẹ	0
Abọ uwa ge ya okpehe lẹ a	A likpo okpehe ha chọla no kwu je, a lọ pi, lọ na chẹẹ a kwọ ba ẹchi ahapa. Ẹchi ọmahapa, a kwu da kwọ che bẹchẹ ko nmo.	A likpo okpehe ha chọla no kwu je, a lọ pi, lọ na chẹẹ a kwọ ba ẹchi ahapa. Ẹchi aflẹyi a, a kwu da kwọ che bẹchẹ ko nmo.	0
Abọ ee gee nu ifu nma ọlẹ lẹ a	Achẹ gaa nu ifu nma ọlẹ, ee lọfu lukpa tajẹ ọwẹ nee je ki ifu ge yẹ a. Eko na ifu kwuinya wa ga yẹ, ukpa gee jọ kwu.	Achẹ gaa nu ifu nma ọlẹ, ee lọfu lukpa tajẹ ọwẹ nee je ki ifu ge yẹ a. Eko na ifu gwuta wa ga yẹ, ukpa gee jọ kwu.	0
Ẹgẹẹnya ne ge ya ijangada	A lẹ Ikpọhọ hẹ ba ọlẹnọ kwu nmo yewu, a lọwu ọji chẹẹ a kwọ chila mla ọnda. Umu kunu wẹ ijangada a.	A lẹ Ikpọna hẹ ba ọlẹnọ kwu nmo yewu, a lọwu ọji chẹẹ a kwọ chila mla ọnda. Umu kunu wẹ ijangada a.	0
Ẹgẹẹnya ne ge nya epu ichonklo a	A lẹ ebu a na kwọ kpo tu ombli ko wlaelu, a lẹ akọkọ mla okpehe gba kwọ pia tu epu a chẹẹ a lẹ ọma futọ ka kwọ nya tọha.	A lẹ epu a na kwọ kpo tu ombli ko wlaelu, a lẹ akọkọ mla okpehe gba kwọ pia tu epu a chẹẹ a lẹ ọma futọ ka kwọ nya tọha.	1
Ọdi wẹ eku ku enkpo mla ẹgọ 	Ee ge bi entu mla ẹgọ gba ọda alẹwa lẹbẹ ku abahi mla akeyi. Gbọbu ka gba, a lẹ enkpo mla ẹgọ na ohigwu ọnjẹ.	Ee ge bi enkpo mla ẹgọ gba ọda alẹwa lẹbẹ ku abahi mla akeyi. Gbọbu ka gba, a lẹ enkpo mla ẹgọ na ohigwu ọnjẹ.	1
Eko na gaa fiẹ inu mla achi	A lẹ achi epu pii nwune, lẹ achi a ta likpo chẹẹ o kwọ pia kla ọchi nee gba che inu a.	A lẹ achi ẹpẹ pii nwune, lẹ achi a ta likpo chẹẹ o kwọ pia kla ọchi nee gba che inu a.	1
Ọdang ka dọko ya ichanyi	A lẹ akeyi amang kẹẹ abahi gba, lọ da mla enkpọ okwọla lọhilọhi chẹẹ a lọ hẹ tu enkpọhọ ne chọla gbọbu ka kpo ọdọhọ ohile tọ.	A lẹ akeyi amang kẹẹ abahi gba, lọ da mla enkpọ no okwọla lọhilọhin chẹẹ a lọ hẹ tu enkpọhọ ne chọla gbọbu ka kpo ọdọhọ ohile tọ.	0
Idọma gaa ya anọ oole	Ee lẹ ata hẹ kwọ cha lẹ tuba be mii enkpọ klọ ko liye. O leliye kpẹm, a kwọ nwula nma ọchinu, kwọ chọla kooje. O le je, a lọ wu kwọ cha chọla chẹ anọ gee wu wa ẹyinu.	Ee lẹ ali hẹ kwọ cha, lẹ tuba be mii enkpọ klọ ko liye. O leliye kpẹm, ee kwọ nwula nma ọchinu, kwọ chọla kooje. O le je, ee lọ wu kwọ cha chọla chẹ anọ gee wu wa ẹyinu.	1
Eko otẹtẹ nee lẹ ọyi ẹpẹpẹ ma 	Okplichọnya ne kọma a le ewo nya ọyi a iye, o lẹ okonu pi enyi nmọ ẹnwu kunu, o lẹ anọ ene kpotọ iye chẹẹ o kwọ nyọ inu.	Okplichọnya ne togwu a le ewo nya ọya a iye, o lẹ okonu pi enyi nmọ ẹnwu kunu, o lẹ anọ ene kpotọ iye chẹẹ o kwọ nyọ inu.	0
Abọ Idọma ge leyi chọyi lẹ a	Oflọchi ẹchi ahata a, o lẹ ọmapu eyi higwu chẹẹ o wa lẹ ọyi bi gẹchẹ, o linalegwu ta chẹẹ o kwu iye chọyi a.	Oflọchi ẹchi ahapa a, o lẹ ọmapu eyi higwu chẹẹ o wa lẹ ọyi bi gẹchẹ, o linalegwu ta chẹẹ o kwu iye chọ.	1
Achi tu ẹhọ na gaa nmọ	A bi ugbanlẹ le fu achi a eyeye che ọgbọgba, lẹ ajẹ ga tu ọkwu ka aachi chẹẹ a kuwa tuba okonu ẹhọ a.	A bi ugbanlẹ le fu achi a eyeye che ọgbọgba, lẹ ajẹ gwo nma ọkwu ka aachi chẹẹ a kuwa tuba okonu ẹhọ a.	1
Ẹhọoohi lẹ ẹdọ ẹpa	Eyi kunu, a lẹ ewu bii chẹẹ a nyi ode bẹka obuna tọ. Ọhanu a, a lẹ ubẹ gba kẹẹ a bi nyi ode bo ogege mla agwugwu. 	Eyi kunu, a lẹ ewu hii chẹẹ a nyi ode bẹka obuna tọ. Ọhanu a, a lẹ ubẹ gba kẹẹ a bi nyi ode bo ogege mla agwugwu. 	1
Ọdang kẹ ọdaowuiye kwọ le hila na a glaya 	A lẹ owu bu inyila ko le pia ẹpa ọkwu inyila a. A lẹ owu gbo, a bi ẹga kili no hila a chẹẹ a lẹ ga bọha.	A lẹ owu bu inyila ko le pia ẹta ọkwu inyila a. A lẹ owu gbo, a bi ẹga kili no hila a chẹẹ a lẹ ga bọha.	0
Ọdang ka dọka o kwu ugwu, a lẹ ikpo kọ ọda kpo	A lẹ ikpo a ta kla ajẹ ginu a. Ugwu ge ha ikpo le nyinu a. A kwu ọwẹ gwu chẹẹ a kwu ugwu a kwu.	A lẹ ikpo a ta kla ochẹ ginu a. Ugwu ge ha ikpo le nyinu a. A kwu ọwẹ gwu chẹẹ a kwu ugwu a kwu.	0
Ọchẹ ga lẹ ihi pa ọla	Lẹ ọla tugwo no le kpla, a kwu ihi chọ taapu taapu, a gee họi pia ihi eyi tọla. O kwu je, a lọ pẹ, lọ bẹ tu ogo. A chẹ, a le mla ikpẹpi.	Lẹ ọla tugwo no le kpla ẹẹn, a kwu ihi chọ taapu taapu, a gee họi pia ihi eyi tọla. O kwu je, a lọ pẹ, lọ bẹ tu ogo. A chẹ, a le mla ikpẹpi.	0
Idọma gee liye ku ẹbẹ che ọchẹ	Achẹ gee liye ku odumu, agaba, ẹjẹ, ikwu, idu mla ọbla. Achọnyilọ foofunu ge liye nya a.	Achẹ gee liye ku odumu, agaba, ẹjẹ, ikwu, idu mla ọbla. Achọnya foofunu ge liye nya a.	0
Ọlẹchẹ ge liye kọ ọchi duu	Iye ku ọchi na achẹ ge le a nwunen. Ee ge le agba, one mla uloko.  Achọnyilọ mla  Aẹbẹ ge leyi tọha.	Iye ku ọchi na achẹ ge le a nwunen. Ee ge le agba, one, mla uloko.  Achọnyilọ mla  Achọnya ge leyi tọha.	1
Ọda obọbi ge nmo ọlẹ tajẹ wẹ	achẹ alẹwa ge kpabọ tu ọda no lọhi. Obọbi lẹ ẹdẹdọ. Uwioowi, ajaoogbo, ẹchaoocha, ẹkẹngbeoohẹ, ọchẹoonmo. Pia tọha, uwa ge biọlẹ lachẹ.	achẹ alẹwa ge kpabọ tu ọda no lọhin. Obọbi lẹ ẹdẹdọ. Uwioowi, ajaoogbo, ẹchaoocha, ẹkẹngbeoohẹ, ọchẹoonmo. Pia tọha, uwa ge biọlẹ lachẹ.	1
Uklọ abọ nya na achẹ ya gla	A lọfu ga ili, ta ombli, gwo ọlẹ, jọlala, ya ablakpa, gba ẹyi amang a kee ba ẹyi	A lọfu ga ili, ta ombli, gwo ọlẹ, jọlala, ya ablakpa, gba ẹyi amaang a kee ya ẹyi	1
Ọchẹ gekwu abọ ee ge nyi lẹ	Ọchẹ ge kwu ajidọma no, o ge nyọ ọtẹ nẹẹ. O chigbihi wa ọya ọmẹta, ee kwu ọka ba ọkplanu abọ ihayi ẹta ko gbọlẹ.	Ọchẹ ge kwu ajidọma no, o ge nyọ ọtẹ nẹẹ. O chigbihi wan ọya ọmẹta, ee kwu ọka ba ọkplanu abọ ihayi ẹta ko gbọlẹ.	1
Ẹchi ẹnya na Idọma ge kpo ohebi kọ ọchẹ a	Abọ ọchẹ ge kwun ma, o gee lẹ ohebin. Amang, ẹchi nee je ọchẹ a, achipọlẹ a gee je ohi kunu wu.	Abọ ọchẹ ge kwun ma, o gee lẹ ohebin. Amang, ẹchi nee je ọchẹ a, achipọlẹ gee je oho kunu wu.	1
Ee ka ala ala bai tugba ọdi gbọ ẹki ẹwu	Ita ẹnya ge dọchẹ kahini o hi lẹ okonu kunu tu ẹla no wẹ ẹkunun 	Ita ẹnya ge dọchẹ kapinin o hi lẹ okonu kunu tu ẹla no wẹ ẹkunun no.	0
Ahingli o ta ọgbẹta, a jen o wẹ ẹla, a kwu o wẹ ẹla	Ẹyi ku ẹla nya wẹ kahini o lẹ ọda ohima na le ya amang kẹẹ a ke ya, ẹjẹnjinu wẹ nwalu.	Ẹyi ku ẹpa nya wẹ kahini o lẹ ọda ohima na le ya amang kẹẹ a ke ya, ẹjẹnjinu wẹ nwalu.	0
Ugwu no che ẹyi iho O ge je ẹjẹn	Anyakwọchẹ ge kwu ita nya lẹ achẹ no ya ọdaduun, ee ka tachẹ no ya ainyan  	Anyakwọchẹ ge kwu itu nya lẹ achẹ no ya ọdaduun, ee ka tachẹ no ya ainya.  	0
Ekoọwọ na ọlẹ le blinyi mla enkpọ le hẹ tajẹ na imu ge ta ayi	Imu ge ta ayi tọ ko nyila. ipu le ma, imu wai ba ẹbẹbẹ gbo lingini tọchẹ ahọ gbo gwa oyi. 	Imu ge ta ayi tọ ko nyila. Ayi a le hẹ, imu wai ba ẹbẹbẹ gbo lingini tọchẹ ahọ gbo gwa oyi. 	1
Ee ge lẹ ooma gbọbu je ọlekwun	Anu ya na ayipẹ ge kwu, anyakwọchẹ ge kwu duu. Achẹ dooduu lẹ eko nee ge kwu, ikwu wẹ ule nẹ.	Anu ya na ayipẹ ge kwu anyakwọchẹ ge kwu duu. Achẹ dooduu lẹ nee ge kwa, ikwu wẹ ule nẹ.	0
Abọ Idọma ge bi ọnya nyọ ọlẹ ọba lẹ a	Ọdang kee lije kpo tọ ọnya kpẹm, ẹnẹnu lẹ ohoọba la luwo. Anchọnya kọ ọnya mla aanya ku ipọma ọladanu ge bi ọnya ta ga ọlẹ ọbunu a. 	Ọdang kee lije kpo tọ ọba kpẹm, ẹnẹnu lẹ ohoọba la luwo. Anchọnya kọ ọnya mla aanya ku ipọma ọladanu ge bi ọnya ta ga ọlẹ ọyanu a. 	0
Ẹgẹẹnya na Idọma ge ya igbo igbankpa a	A gaa ya igbo ku igbankpa, a lẹ igbankpa ẹmẹmẹ ta nma ọchi, lọ gba ẹgọ. A lẹ ọma, akọkọ mla anọ pia tọ kwọ hogodo tọha. A kwọ che tu epu lọ gbo chọla ko je.	A gaa ya igbo ku igbankpa, a lẹ akpa ẹmẹmẹ ta nma ọchi, lọ gba ẹgọ. A lẹ ọma, akọkọ mla anọ pia tọ kwọ hogodo tọha. A kwọ che tu epu lọ gbo chọla ko je.	0
A lẹ ẹgwa nmo ajidọma	A lẹ ogblo amang kẹẹ ọchi nẹhi fiẹ ẹgwa no gekwu, a kwu ikplẹyinu hẹ chẹẹ a lẹ ọgọ bu kwu ẹyi a nyi.	A lẹ ogblo amang kẹẹ ọchi nẹhi fiẹ ẹgwa no gekwu, a kwu ikpleyinu nwula chẹẹ a lẹ ọgọ bu kwu ẹyi a nyi.	0
O wẹ ẹka duudu ge ticho ọchi gbọbu ke le anan 	Ogbatọha ku ita a we kahini, ẹjẹnji achẹ ga ya uklọ gbọbu ke le.	Ogbatọha ku ita a we kahini, ẹjẹnji achẹ gee ya uklọ gbọbu ke le.	0
Ọdi wẹ ichagba ka anya ọglẹwu a	Apọlẹ ohima ge ta anya ọlẹ uwa owuno, ọha chẹ aagbo. Anya ohile a wẹ oyigo.	Apọlẹ ohima ge ta anya ọlẹ uwa owuno ọglewu ẹhajẹ, anya kẹ ẹhẹcho ge le ka aagbo. Anya ohile a wẹ oyigo.	0
Ọdang ka gaa ya anọ ene	A lẹ ikpali ẹno tanọ cha, a lọ kpo tu ẹhi chọla. A ge be piọ eyi mla ochupẹ jaa gbeko ne anọ bẹchẹ.  	A lẹ epali ẹno tanọ cha, a lọ kpo tu ẹhi chọla. A ge be piọ eyi mla ochupẹ jaa gbeko ne anọ bẹchẹ.  	0
Ọdang ka ga hẹ ikpọchi na ticho glan,	 a lẹ ọbongoli ma mla ọchi no lẹ akanaba chẹẹ lọ hẹ ikpọchi wajẹ.	 a lẹ ọbongoli ya mla ọchi no lẹ akanaba chẹẹ lọ hẹ ikpọchi wajẹ.	1
Ọdi eje alekwu wẹ a	Eje alekwu wẹ eko ne achẹ ge ya ogweye ka alekwu aduwa. Eko ọma alekwu I bẹchẹ nma odoko. 	Eje alekwu wẹ eko ne achẹ ge ya ogweye ka alekwu aduwa. Eko nya alekwu bẹchẹ I nma odoko. 	1
Eko ne ọba gaa tọnya kunu 	Ọba a lẹ ọnya bi nyọ ọlẹ adọyi a, e lẹ achẹ higwu ke chẹ ijali tuwa o lẹ ẹla ka nmẹyi, ọba lẹ nẹhẹ bi le gwu ọnya a iye. Ọma mafu kee kwu kọ ẹẹ.	Ọba a lẹ ọnya bi nyọ ọlẹ adọnya a, e lẹ achẹ higwu ke chẹ ijali tuwa o lẹ ẹla ka nmẹyi, ọba lẹ nẹhẹ bi le gwu ọnya a iye. Ọma mafu kee kwu kọ ẹẹ.	1
Okwu gekwu ee ge lọ che itakpa gbọbu kee jọ nyi	Eko na okwu a chọgba a, achọnya gee bẹchẹ bai chilẹwu. Achohi ge bai tẹhọ fu ọmapu uwa no ba ọlekwu a.	Eko na achi a chọgba a, achọnya gee bẹchẹ bai chilẹwu. Achohi ge bai tẹhọ fu ọmapu uwa no bu ekwu a.	0
